payment_id,natural_recovery_probability,retry_success_probability,nudge_success_probability,escalation_success_probability,net_value_wait,net_value_retry,net_value_nudge,net_value_escalate,incremental_value_retry,incremental_value_nudge,incremental_value_escalate,best_action
pay_000050_a3,0.01,0.01,0.01,0.01,14.99,9.99,-0.01,-235.01,-5.0,-15.0,-250.0,WAIT
pay_000051_a1,0.01,0.01,0.01,0.01,14.99,9.99,-0.01,-235.01,-5.0,-15.0,-250.0,WAIT
pay_000052_a1,0.01,0.01,0.01,0.01,14.99,9.99,-0.01,-235.01,-5.0,-15.0,-250.0,WAIT
pay_000053_a1,0.01,0.01,0.01,0.01,14.99,9.99,-0.01,-235.01,-5.0,-15.0,-250.0,WAIT
pay_000054_a2,0.01,0.01,0.01,0.01,14.99,9.99,-0.01,-235.01,-5.0,-15.0,-250.0,WAIT
pay_000055_a1,0.4498,0.8445,0.5172,0.4134,449.32,838.63,501.65,162.98,389.3,52.33,-286.35,RETRY
pay_000056_a1,0.2628,0.6094,0.3392,0.2323,262.51,603.79,323.83,-17.97,341.28,61.32,-280.48,RETRY
pay_000057_a1,0.4129,0.7848,0.4609,0.3818,412.45,779.06,445.39,131.44,366.61,32.94,-281.01,RETRY
pay_000058_a2,0.3147,0.7075,0.4135,0.2994,314.43,701.77,398.12,49.08,387.35,83.7,-265.34,RETRY
pay_000059_a1,0.1596,0.5328,0.2543,0.1944,319.06,1059.97,493.43,138.62,740.91,174.37,-180.43,RETRY
pay_000060_a1,0.1095,0.495,0.1822,0.1588,218.93,984.55,349.26,67.43,765.62,130.33,-151.5,RETRY
pay_000061_a2,0.0448,0.4038,0.155,0.1011,89.47,802.2,294.82,-47.81,712.73,205.35,-137.28,RETRY
pay_000062_a1,0.0414,0.3945,0.1312,0.0822,82.71,783.66,247.28,-85.69,700.95,164.57,-168.4,RETRY
pay_000063_a1,0.0336,0.4151,0.1319,0.0428,67.15,824.75,248.63,-164.38,757.6,181.48,-231.53,RETRY
pay_000064_a1,0.01,0.3755,0.0669,0.0506,19.99,745.71,118.67,-148.91,725.72,98.68,-168.9,RETRY
pay_000065_a1,0.103,0.4846,0.189,0.1336,205.84,963.78,362.76,17.02,757.94,156.93,-188.82,RETRY
pay_000066_a1,0.01,0.2407,0.01,0.01,19.99,476.13,4.99,-230.01,456.14,-15.0,-250.0,RETRY
pay_000067_a1,0.1003,0.5103,0.1938,0.116,200.47,1015.11,372.49,-18.13,814.64,172.02,-218.6,RETRY
pay_000068_a1,0.01,0.1775,0.01,0.01,19.99,349.75,4.99,-230.01,329.76,-15.0,-250.0,RETRY
pay_000069_a1,0.01,0.3628,0.09,0.0294,19.99,720.19,164.88,-191.18,700.2,144.89,-211.17,RETRY
pay_000070_a1,0.2624,0.6328,0.4006,0.2532,524.58,1260.02,785.77,256.14,735.44,261.18,-268.44,RETRY
pay_000071_a1,0.2124,0.5777,0.3497,0.1816,424.68,1149.86,684.12,113.08,725.18,259.44,-311.6,RETRY
pay_000072_a2,0.1291,0.5172,0.2954,0.1132,258.16,1028.86,575.58,-23.7,770.7,317.42,-281.87,RETRY
pay_000073_a3,0.1168,0.5326,0.2442,0.1117,233.58,1059.63,473.16,-26.71,826.06,239.58,-260.29,RETRY
pay_000074_a4,0.01,0.3719,0.1598,0.01,19.99,738.33,304.39,-230.01,718.34,284.4,-250.0,RETRY
pay_000075_a1,0.01,0.3791,0.1136,0.01,19.99,752.92,212.11,-230.01,732.93,192.12,-250.0,RETRY
pay_000076_a2,0.01,0.3014,0.0608,0.01,19.99,597.6,106.44,-230.01,577.61,86.45,-250.0,RETRY
pay_000077_a1,0.01,0.3494,0.1303,0.01,19.99,693.42,245.49,-230.01,673.43,225.5,-250.0,RETRY
pay_000078_a1,0.01,0.3738,0.1963,0.01,19.99,742.24,377.36,-230.01,722.25,357.37,-250.0,RETRY
pay_000079_a1,0.01,0.261,0.0516,0.01,19.99,516.81,88.12,-230.01,496.82,68.13,-250.0,RETRY
pay_000080_a1,0.01,0.2968,0.0377,0.01,19.99,588.32,60.31,-230.01,568.33,40.32,-250.0,RETRY
pay_000081_a2,0.01,0.2217,0.01,0.01,19.99,438.24,4.99,-230.01,418.25,-15.0,-250.0,RETRY
pay_000082_a1,0.0214,0.4082,0.185,0.01,42.76,810.95,354.74,-230.01,768.19,311.98,-272.77,RETRY
pay_000083_a1,0.3795,0.4695,0.5094,0.4421,568.91,698.81,748.64,412.76,129.9,179.73,-156.15,NUDGE
pay_000084_a2,0.2733,0.3897,0.3965,0.3513,409.65,579.21,579.41,276.59,169.56,169.76,-133.06,NUDGE
pay_000085_a3,0.3008,0.4286,0.4133,0.3698,450.89,637.4,604.55,304.31,186.5,153.66,-146.59,RETRY
pay_000086_a4,0.2192,0.3246,0.328,0.3055,328.53,481.54,476.65,208.01,153.02,148.12,-120.52,RETRY
pay_000087_a1,0.3106,0.4129,0.433,0.4178,465.6,613.93,633.99,376.29,148.33,168.39,-89.31,NUDGE
pay_000088_a2,0.2448,0.3603,0.3622,0.3126,366.95,535.05,527.94,218.55,168.1,160.99,-148.4,RETRY
pay_000089_a3,0.2304,0.3721,0.306,0.3286,345.37,552.72,443.67,242.51,207.35,98.31,-102.86,RETRY
pay_000090_a1,0.01,0.01,0.01,0.01,49.99,44.99,34.99,-200.01,-5.0,-15.0,-250.0,WAIT
pay_000091_a2,0.01,0.01,0.01,0.01,49.99,44.99,34.99,-200.01,-5.0,-15.0,-250.0,WAIT
pay_000092_a1,0.01,0.01,0.01,0.01,49.99,44.99,34.99,-200.01,-5.0,-15.0,-250.0,WAIT
pay_000093_a2,0.01,0.01,0.01,0.01,49.99,44.99,34.99,-200.01,-5.0,-15.0,-250.0,WAIT
pay_000094_a1,0.01,0.01,0.01,0.01,49.99,44.99,34.99,-200.01,-5.0,-15.0,-250.0,WAIT
pay_000095_a2,0.01,0.01,0.01,0.01,49.99,44.99,34.99,-200.01,-5.0,-15.0,-250.0,WAIT
pay_000096_a3,0.01,0.01,0.01,0.01,49.99,44.99,34.99,-200.01,-5.0,-15.0,-250.0,WAIT
pay_000097_a1,0.01,0.0214,0.01,0.01,49.99,101.9,34.99,-200.01,51.91,-15.0,-250.0,RETRY
pay_000098_a2,0.01,0.01,0.01,0.01,49.99,44.99,34.99,-200.01,-5.0,-15.0,-250.0,WAIT
pay_000099_a1,0.01,0.01,0.01,0.01,49.99,44.99,34.99,-200.01,-5.0,-15.0,-250.0,WAIT
pay_000100_a2,0.01,0.01,0.01,0.01,49.99,44.99,34.99,-200.01,-5.0,-15.0,-250.0,WAIT
pay_000101_a1,0.01,0.01,0.01,0.01,49.99,44.99,34.99,-200.01,-5.0,-15.0,-250.0,WAIT
pay_000102_a2,0.01,0.01,0.01,0.01,49.99,44.99,34.99,-200.01,-5.0,-15.0,-250.0,WAIT
pay_000103_a1,0.2386,0.5625,0.3229,0.1776,119.08,275.7,146.14,-161.39,156.62,27.06,-280.47,RETRY
pay_000104_a2,0.1955,0.5844,0.2917,0.1816,97.56,286.6,130.58,-159.41,189.04,33.02,-256.97,RETRY
pay_000105_a1,0.1449,0.4986,0.2297,0.0952,72.29,243.8,99.6,-202.48,171.51,27.31,-274.77,RETRY
pay_000106_a1,0.1806,0.5079,0.2862,0.1389,90.14,248.42,127.82,-180.69,158.28,37.68,-270.83,RETRY
pay_000107_a2,0.1066,0.4605,0.2089,0.0945,53.2,224.8,89.26,-202.82,171.6,36.06,-256.02,RETRY
pay_000108_a3,0.0497,0.3998,0.1591,0.01,24.82,194.52,64.37,-245.01,169.7,39.55,-269.83,RETRY
pay_000109_a1,0.2053,0.5567,0.2736,0.1955,102.42,272.81,121.53,-152.47,170.38,19.11,-254.89,RETRY
pay_000110_a2,0.1377,0.5137,0.2046,0.0565,68.71,251.34,87.11,-221.82,182.63,18.4,-290.53,RETRY
pay_000111_a3,0.0725,0.4309,0.1506,0.0422,36.2,210.03,60.14,-228.94,173.83,23.94,-265.14,RETRY
pay_000112_a1,0.7401,0.7897,0.8292,0.7605,369.3,389.07,398.77,129.47,19.77,29.47,-239.83,NUDGE
pay_000113_a2,0.6677,0.7886,0.6825,0.6929,333.2,388.49,325.59,95.74,55.29,-7.61,-237.46,RETRY
pay_000114_a3,0.6095,0.653,0.6618,0.633,304.13,320.87,315.24,65.88,16.74,11.11,-238.25,RETRY
pay_000115_a4,0.516,0.6241,0.5504,0.5655,257.47,306.41,259.64,32.2,48.93,2.17,-225.27,RETRY
pay_000116_a1,0.3665,0.7006,0.4028,0.253,182.88,344.58,185.99,-123.77,161.7,3.11,-306.65,RETRY
pay_000117_a1,0.1619,0.5482,0.174,0.0594,80.78,268.57,71.85,-220.37,187.79,-8.94,-301.15,RETRY
pay_000118_a1,0.1191,0.5163,0.1502,0.01,59.43,252.65,59.96,-245.01,193.22,0.53,-304.44,RETRY
pay_000119_a1,0.2533,0.649,0.2568,0.1537,126.4,318.83,113.16,-173.33,192.43,-13.23,-299.73,RETRY
pay_000120_a1,0.1267,0.5012,0.1383,0.01,63.23,245.11,54.02,-245.01,181.88,-9.21,-308.24,RETRY
pay_000121_a1,0.0557,0.438,0.0852,0.01,27.77,213.56,27.53,-245.01,185.78,-0.24,-272.78,RETRY
pay_000122_a1,0.154,0.561,0.1554,0.0257,76.82,274.95,62.55,-237.16,198.13,-14.27,-313.98,RETRY
pay_000123_a2,0.1136,0.4898,0.128,0.01,56.68,239.41,48.88,-245.01,182.73,-7.8,-301.69,RETRY
pay_000124_a3,0.0402,0.3953,0.1004,0.01,20.07,192.26,35.1,-245.01,172.19,15.03,-265.08,RETRY
pay_000125_a4,0.01,0.3573,0.01,0.01,4.99,173.31,-10.01,-245.01,168.32,-15.0,-250.0,RETRY
pay_000126_a1,0.1882,0.2017,0.2138,0.2226,188.05,196.54,198.54,-27.64,8.48,10.49,-215.69,NUDGE
pay_000127_a1,0.2278,0.2109,0.2614,0.2526,227.58,205.7,246.09,2.36,-21.89,18.51,-225.22,NUDGE
pay_000128_a2,0.1643,0.2297,0.1718,0.1857,164.09,224.47,156.59,-64.49,60.38,-7.5,-228.58,RETRY
pay_000129_a1,0.1701,0.1676,0.2164,0.2148,169.97,162.39,201.16,-35.46,-7.58,31.19,-205.43,NUDGE
pay_000130_a1,0.1305,0.1497,0.1553,0.149,130.4,144.56,140.1,-101.13,14.16,9.71,-231.53,RETRY
pay_000131_a2,0.0745,0.0542,0.066,0.0959,74.47,49.12,50.89,-154.17,-25.35,-23.58,-228.64,WAIT
pay_000132_a1,0.0923,0.0974,0.0528,0.117,92.16,92.31,37.71,-133.15,0.15,-54.45,-225.32,RETRY
pay_000133_a2,0.01,0.0207,0.0127,0.0346,9.99,15.71,-2.36,-215.42,5.72,-12.35,-225.41,RETRY
pay_000134_a1,0.0453,0.0598,0.0321,0.0721,45.3,54.76,17.06,-178.0,9.47,-28.24,-223.3,RETRY
pay_000135_a1,0.0258,0.0627,0.01,0.0901,25.77,57.65,-5.01,-160.02,31.88,-30.78,-185.79,RETRY
pay_000136_a1,0.2626,0.3071,0.6224,0.2511,787.52,915.93,1851.63,503.0,128.41,1064.11,-284.51,NUDGE
pay_000137_a2,0.2132,0.2738,0.5132,0.1613,639.33,815.98,1523.96,233.64,176.65,884.63,-405.69,NUDGE
pay_000138_a3,0.1599,0.1883,0.4961,0.1227,479.52,559.63,1472.75,117.86,80.11,993.23,-361.67,NUDGE
pay_000139_a4,0.0428,0.1133,0.3929,0.0104,128.39,334.92,1163.18,-218.8,206.52,1034.78,-347.19,NUDGE
pay_000140_a1,0.3224,0.3417,0.6402,0.278,966.75,1019.67,1904.91,583.78,52.91,938.15,-382.98,NUDGE
pay_000141_a2,0.2235,0.2692,0.5764,0.2392,670.2,802.38,1713.62,467.39,132.18,1043.43,-202.81,NUDGE
pay_000142_a3,0.1818,0.2321,0.547,0.1562,545.25,691.04,1625.6,218.32,145.8,1080.36,-326.92,NUDGE
pay_000143_a1,0.2108,0.2667,0.5531,0.2001,632.05,794.92,1643.82,350.2,162.88,1011.77,-281.85,NUDGE
pay_000144_a2,0.107,0.1673,0.4468,0.0735,321.0,496.63,1325.02,-29.54,175.63,1004.02,-350.55,NUDGE
pay_000145_a1,0.1986,0.2641,0.5228,0.1705,595.51,786.98,1553.02,261.33,191.46,957.5,-334.18,NUDGE
pay_000146_a2,0.1314,0.1778,0.4494,0.1046,394.16,528.26,1332.84,63.83,134.09,938.68,-330.33,NUDGE
pay_000147_a3,0.0884,0.1335,0.4346,0.1069,265.12,395.28,1288.24,70.66,130.17,1023.12,-194.46,NUDGE
pay_000148_a4,0.01,0.01,0.2549,0.01,29.99,24.99,749.5,-220.01,-5.0,719.51,-250.0,NUDGE
pay_000149_a1,0.1435,0.1777,0.491,0.089,430.26,527.99,1457.41,16.94,97.73,1027.15,-413.32,NUDGE
pay_000150_a2,0.1053,0.1759,0.4085,0.0457,315.83,522.67,1209.96,-113.09,206.84,894.13,-428.92,NUDGE
pay_000151_a3,0.0182,0.0888,0.3388,0.01,54.61,261.24,1000.94,-220.01,206.63,946.33,-274.62,NUDGE
pay_000152_a4,0.01,0.01,0.2336,0.01,29.99,24.99,685.42,-220.01,-5.0,655.43,-250.0,NUDGE
pay_000153_a1,0.8604,0.8914,0.7952,0.7567,8603.36,8907.65,7936.33,7316.33,304.3,-667.02,-1287.03,RETRY
pay_000154_a2,0.8305,0.8524,0.7828,0.7671,8304.57,8518.41,7812.0,7419.79,213.85,-492.56,-884.77,RETRY
pay_000155_a3,0.7551,0.8104,0.6687,0.687,7549.89,8098.02,6671.71,6619.43,548.13,-878.18,-930.46,RETRY
pay_000156_a4,0.612,0.6454,0.5506,0.517,6119.8,6448.19,5490.0,4919.93,328.39,-629.79,-1199.87,RETRY
pay_000157_a1,0.1244,0.2645,0.2609,0.1618,373.11,788.19,767.56,235.25,415.08,394.45,-137.85,RETRY
pay_000158_a1,0.1663,0.3809,0.3359,0.2023,498.7,1137.38,992.39,356.65,638.67,493.68,-142.05,RETRY
pay_000159_a2,0.1365,0.3198,0.2719,0.1845,409.38,954.21,800.45,303.22,544.84,391.08,-106.16,RETRY
pay_000160_a1,0.0199,0.1831,0.1882,0.0527,59.6,544.09,549.29,-92.04,484.48,489.69,-151.64,NUDGE
pay_000161_a1,0.1723,0.3716,0.3304,0.2475,516.62,1109.56,975.83,492.25,592.94,459.22,-24.37,RETRY
pay_000162_a2,0.0934,0.2477,0.2565,0.1106,280.22,737.73,754.28,81.69,457.51,474.06,-198.53,NUDGE
pay_000163_a3,0.0504,0.2026,0.2234,0.0837,151.29,602.47,654.95,0.88,451.18,503.66,-150.41,NUDGE
pay_000164_a4,0.01,0.2042,0.1777,0.0153,29.99,607.46,517.93,-204.24,577.47,487.94,-234.23,RETRY
pay_000165_a1,0.1153,0.2929,0.2856,0.153,345.74,873.53,841.61,208.72,527.8,495.87,-137.01,RETRY
pay_000166_a2,0.068,0.2544,0.2554,0.1428,203.79,757.95,751.09,178.16,554.16,547.3,-25.63,RETRY
pay_000167_a1,0.8109,0.8235,0.8455,0.8308,404.66,405.92,406.88,164.56,1.26,2.22,-240.1,NUDGE
pay_000168_a2,0.7371,0.8049,0.8509,0.7652,367.79,396.65,409.59,131.85,28.86,41.8,-235.94,NUDGE
pay_000169_a1,0.7918,0.8985,0.9045,0.7042,1186.96,1341.81,1340.81,805.58,154.86,153.85,-381.37,RETRY
pay_000170_a2,0.7261,0.8043,0.7941,0.6157,1088.4,1200.71,1175.42,672.88,112.31,87.02,-415.52,RETRY
pay_000171_a1,0.0928,0.3977,0.2141,0.0937,92.71,392.3,198.92,-156.44,299.59,106.21,-249.15,RETRY
pay_000172_a1,0.0864,0.4031,0.172,0.0969,86.36,397.65,156.87,-153.23,311.29,70.5,-239.59,RETRY
pay_000173_a1,0.0623,0.3562,0.1836,0.01,62.19,350.87,168.4,-240.01,288.68,106.21,-302.2,RETRY
pay_000174_a2,0.01,0.2948,0.0881,0.01,9.99,289.51,73.0,-240.01,279.52,63.01,-250.0,RETRY
pay_000175_a1,0.01,0.2864,0.1178,0.01,9.99,281.08,102.72,-240.01,271.09,92.73,-250.0,RETRY
pay_000176_a2,0.01,0.2051,0.0538,0.01,9.99,199.89,38.72,-240.01,189.9,28.73,-250.0,RETRY
pay_000177_a3,0.01,0.1551,0.01,0.01,9.99,149.99,-5.01,-240.01,140.0,-15.0,-250.0,RETRY
pay_000178_a1,0.01,0.3096,0.1014,0.0155,9.99,304.31,86.3,-234.48,294.32,76.31,-244.47,RETRY
pay_000179_a1,0.01,0.2369,0.0394,0.01,9.99,231.7,24.41,-240.01,221.71,14.42,-250.0,RETRY
pay_000180_a2,0.01,0.1581,0.01,0.01,9.99,152.97,-5.01,-240.01,142.98,-15.0,-250.0,RETRY
pay_000181_a3,0.01,0.0763,0.01,0.01,9.99,71.21,-5.01,-240.01,61.22,-15.0,-250.0,RETRY
pay_000182_a1,0.5788,0.7299,0.4937,0.6022,288.81,359.22,231.36,50.52,70.41,-57.44,-238.29,RETRY
pay_000183_a2,0.5088,0.6996,0.4239,0.4956,253.88,344.11,196.5,-2.71,90.24,-57.37,-256.58,RETRY
pay_000184_a1,0.352,0.5079,0.2498,0.3891,175.63,248.46,109.66,-55.83,72.84,-65.96,-231.46,RETRY
pay_000185_a2,0.3682,0.5633,0.2833,0.3518,183.73,276.07,126.35,-74.46,92.34,-57.38,-258.19,RETRY
pay_000186_a3,0.2754,0.486,0.1719,0.3023,137.43,237.49,70.76,-99.17,100.06,-66.67,-236.6,RETRY
pay_000187_a4,0.205,0.3743,0.1172,0.2393,102.3,181.78,43.47,-130.61,79.48,-58.84,-232.92,RETRY
pay_000188_a1,0.7989,0.8997,0.8324,0.8266,1197.56,1343.67,1232.78,989.12,146.11,35.23,-208.44,RETRY
pay_000189_a1,0.8136,0.9252,0.8972,0.8434,1219.62,1381.89,1329.87,1014.23,162.27,110.25,-205.39,RETRY
pay_000190_a1,0.6824,0.815,0.7684,0.6699,1022.96,1216.62,1136.78,754.17,193.66,113.82,-268.8,RETRY
pay_000191_a2,0.6183,0.7371,0.6972,0.6376,926.81,1099.88,1030.14,705.73,173.06,103.32,-221.09,RETRY
pay_000192_a3,0.5763,0.6708,0.6266,0.6097,863.83,1000.55,924.32,663.94,136.72,60.49,-199.89,RETRY
pay_000193_a1,0.6595,0.7568,0.7224,0.7051,988.57,1129.42,1067.84,806.98,140.85,79.27,-181.59,RETRY
pay_000194_a2,0.5945,0.6725,0.6628,0.612,891.2,1003.09,978.59,667.35,111.89,87.39,-223.85,RETRY
pay_000195_a1,0.5652,0.6956,0.6695,0.5998,847.17,1037.65,988.6,649.03,190.48,141.43,-198.14,RETRY
pay_000196_a1,0.68,0.7776,0.7508,0.6936,1019.26,1160.64,1110.44,789.71,141.38,91.18,-229.55,RETRY
pay_000197_a1,0.471,0.5867,0.5474,0.5007,706.04,874.53,805.61,500.62,168.49,99.57,-205.42,RETRY
pay_000198_a2,0.3724,0.4761,0.462,0.4177,558.29,708.73,677.49,376.16,150.45,119.2,-182.13,RETRY
pay_000199_a1,0.1375,0.1211,0.1404,0.2726,137.39,115.96,125.26,22.34,-21.43,-12.13,-115.04,WAIT
pay_000200_a2,0.062,0.01,0.0996,0.219,61.93,4.99,84.5,-31.18,-56.94,22.58,-93.11,NUDGE
pay_000201_a3,0.0398,0.01,0.0399,0.1629,39.74,4.99,24.86,-87.26,-34.75,-14.88,-127.0,WAIT
pay_000202_a4,0.01,0.01,0.01,0.0788,9.99,4.99,-5.01,-171.28,-5.0,-15.0,-181.27,WAIT
pay_000203_a1,0.2465,0.1689,0.2519,0.3768,246.21,163.72,236.67,126.38,-82.48,-9.54,-119.83,WAIT
pay_000204_a1,0.223,0.3925,0.3764,0.2444,1115.0,1957.02,1866.7,971.81,842.02,751.7,-143.2,RETRY
pay_000205_a2,0.1512,0.2877,0.3258,0.19,755.84,1433.18,1613.61,699.73,677.34,857.76,-56.12,NUDGE
pay_000206_a3,0.1157,0.2286,0.2911,0.1454,578.53,1137.57,1440.0,476.79,559.04,861.47,-101.75,NUDGE
pay_000207_a4,0.041,0.1696,0.2173,0.08,204.78,843.01,1071.35,149.69,638.22,866.56,-55.09,NUDGE
pay_000208_a1,0.1881,0.3496,0.3846,0.2708,940.3,1742.81,1907.39,1103.74,802.5,967.08,163.44,NUDGE
pay_000209_a1,0.0971,0.2507,0.3131,0.1162,485.26,1248.1,1550.3,330.64,762.84,1065.03,-154.62,NUDGE
pay_000210_a2,0.0194,0.1468,0.2433,0.0671,96.9,728.75,1201.24,85.33,631.85,1104.34,-11.57,NUDGE
pay_000211_a1,0.1834,0.3145,0.3807,0.2304,917.04,1567.21,1888.01,901.88,650.18,970.98,-15.16,NUDGE
pay_000212_a2,0.0901,0.1806,0.3031,0.0861,450.22,897.64,1500.0,180.29,447.42,1049.78,-269.93,NUDGE
pay_000213_a3,0.0474,0.1716,0.2304,0.0901,237.02,853.04,1136.82,200.59,616.01,899.8,-36.44,NUDGE
pay_000214_a4,0.01,0.1474,0.2186,0.0403,49.99,731.69,1077.9,-48.71,681.7,1027.91,-98.7,NUDGE
pay_000215_a1,0.1439,0.2561,0.3229,0.1969,719.41,1275.42,1599.36,734.08,556.01,879.95,14.67,NUDGE
pay_000216_a1,0.1767,0.3191,0.3382,0.2062,883.09,1590.34,1675.86,780.61,707.24,792.76,-102.48,NUDGE
