payment_id,natural_recovery_probability,retry_success_probability,nudge_success_probability,escalation_success_probability,net_value_wait,net_value_retry,net_value_nudge,net_value_escalate,incremental_value_retry,incremental_value_nudge,incremental_value_escalate,best_action
pay_000106_a1,0.01,0.01,0.01,0.01,4.99,-0.01,-10.01,-245.01,-5.0,-15.0,-250.0,WAIT
pay_000107_a2,0.01,0.01,0.01,0.01,4.99,-0.01,-10.01,-245.01,-5.0,-15.0,-250.0,WAIT
pay_000108_a3,0.01,0.01,0.01,0.01,4.99,-0.01,-10.01,-245.01,-5.0,-15.0,-250.0,WAIT
pay_000109_a4,0.01,0.01,0.01,0.01,4.99,-0.01,-10.01,-245.01,-5.0,-15.0,-250.0,WAIT
pay_000110_a1,0.1444,0.6403,0.2361,0.0839,721.8,3195.87,1165.32,169.22,2474.07,443.52,-552.57,RETRY
pay_000111_a2,0.126,0.5532,0.2413,0.0502,629.89,2760.37,1191.49,1.17,2130.48,561.59,-628.72,RETRY
pay_000112_a1,0.149,0.5444,0.2646,0.0812,744.66,2716.46,1307.52,155.8,1971.8,562.86,-588.86,RETRY
pay_000113_a1,0.1726,0.6319,0.2993,0.1119,862.6,3153.72,1481.2,309.39,2291.12,618.6,-553.21,RETRY
pay_000114_a2,0.1024,0.584,0.2265,0.01,511.78,2914.46,1117.32,-200.01,2402.68,605.53,-711.79,RETRY
pay_000115_a1,0.0402,0.4689,0.1771,0.01,201.12,2339.25,870.5,-200.01,2138.14,669.39,-401.13,RETRY
pay_000116_a1,0.1965,0.6219,0.2953,0.1297,982.14,3103.78,1461.03,398.26,2121.65,478.9,-583.88,RETRY
pay_000117_a2,0.1239,0.5876,0.2235,0.0167,619.58,2932.4,1102.16,-166.48,2312.82,482.58,-786.06,RETRY
pay_000118_a1,0.01,0.467,0.0987,0.01,49.99,2329.71,478.31,-200.01,2279.72,428.32,-250.0,RETRY
pay_000119_a1,0.1264,0.5588,0.2423,0.0663,631.81,2788.62,1196.26,81.59,2156.82,564.45,-550.21,RETRY
pay_000120_a1,0.01,0.3658,0.0606,0.01,49.99,1823.85,287.94,-200.01,1773.86,237.95,-250.0,RETRY
pay_000121_a1,0.0841,0.5598,0.2134,0.01,420.41,2793.41,1051.78,-200.01,2373.0,631.37,-620.42,RETRY
pay_000122_a2,0.0158,0.442,0.1393,0.01,79.16,2204.56,681.46,-200.01,2125.4,602.3,-279.17,RETRY
pay_000123_a3,0.01,0.4277,0.0434,0.01,49.99,2132.9,201.88,-200.01,2082.91,151.89,-250.0,RETRY
pay_000124_a4,0.01,0.3204,0.01,0.01,49.99,1596.75,34.99,-200.01,1546.76,-15.0,-250.0,RETRY
pay_000125_a1,0.0539,0.4794,0.2037,0.01,269.29,2391.55,1003.47,-200.01,2122.26,734.18,-469.3,RETRY
pay_000126_a2,0.0513,0.5253,0.1696,0.01,256.46,2621.17,833.0,-200.01,2364.7,576.54,-456.47,RETRY
pay_000127_a3,0.01,0.3477,0.0489,0.01,49.99,1733.05,229.42,-200.01,1683.06,179.43,-250.0,RETRY
pay_000128_a1,0.01,0.2911,0.01,0.01,49.99,1450.39,34.99,-200.01,1400.4,-15.0,-250.0,RETRY
pay_000129_a2,0.01,0.2441,0.01,0.01,49.99,1215.11,34.99,-200.01,1165.12,-15.0,-250.0,RETRY
pay_000130_a3,0.01,0.188,0.01,0.01,49.99,934.57,34.99,-200.01,884.58,-15.0,-250.0,RETRY
pay_000131_a4,0.01,0.0604,0.01,0.01,49.99,297.06,34.99,-200.01,247.07,-15.0,-250.0,RETRY
pay_000132_a1,0.9394,0.9517,0.99,0.8576,2817.12,2849.26,2954.01,2322.02,32.14,136.89,-495.1,NUDGE
pay_000133_a2,0.8907,0.8778,0.9768,0.8479,2671.25,2627.66,2914.31,2292.89,-43.59,243.06,-378.37,NUDGE
pay_000134_a3,0.8314,0.8431,0.9301,0.7636,2493.39,2523.32,2774.42,2040.0,29.94,281.03,-453.38,NUDGE
pay_000135_a4,0.7567,0.7791,0.8241,0.69,2269.22,2331.5,2456.59,1819.21,62.28,187.37,-450.01,NUDGE
pay_000136_a1,0.7346,0.7079,0.8094,0.6725,2202.95,2118.01,2412.39,1766.83,-84.94,209.45,-436.12,NUDGE
pay_000137_a1,0.236,0.2437,0.6243,0.2619,353.74,360.25,920.83,142.54,6.51,567.09,-211.2,NUDGE
pay_000138_a2,0.1521,0.1674,0.5049,0.1706,228.01,245.94,741.83,5.77,17.93,513.82,-222.24,NUDGE
pay_000139_a3,0.1396,0.1614,0.49,0.1842,209.3,236.99,719.57,26.07,27.69,510.27,-183.22,NUDGE
pay_000140_a1,0.1759,0.2309,0.5445,0.1678,263.66,341.09,801.23,1.56,77.43,537.57,-262.09,NUDGE
pay_000141_a2,0.1461,0.1692,0.5196,0.1531,218.97,248.58,763.83,-20.56,29.6,544.86,-239.53,NUDGE
pay_000142_a1,0.1282,0.1562,0.5292,0.1691,192.1,229.09,778.2,3.5,36.99,586.1,-188.6,NUDGE
pay_000143_a1,0.2686,0.3058,0.6152,0.2835,402.61,453.4,907.21,175.0,50.8,504.6,-227.61,NUDGE
pay_000144_a1,0.9721,0.9092,0.873,0.9679,485.08,448.7,420.65,232.98,-36.38,-64.44,-252.1,WAIT
pay_000145_a2,0.9019,0.8967,0.8088,0.8956,450.06,442.44,388.57,196.88,-7.62,-61.5,-253.18,WAIT
pay_000146_a1,0.8226,0.8038,0.722,0.7999,410.47,396.08,345.27,149.14,-14.4,-65.21,-261.33,WAIT
pay_000147_a1,0.3906,0.7555,0.4033,0.3213,780.88,1505.25,791.23,392.35,724.36,10.34,-388.54,RETRY
pay_000148_a2,0.3555,0.7676,0.3874,0.3249,710.64,1529.5,759.37,399.46,818.85,48.72,-311.19,RETRY
pay_000149_a1,0.2378,0.6485,0.2355,0.0955,475.44,1291.41,455.77,-59.05,815.97,-19.67,-534.49,RETRY
pay_000150_a2,0.1689,0.5406,0.1964,0.0846,337.64,1075.68,377.67,-80.81,738.05,40.03,-418.45,RETRY
pay_000151_a3,0.0503,0.459,0.0913,0.01,100.54,912.48,167.52,-230.01,811.94,66.98,-330.55,RETRY
pay_000152_a4,0.01,0.3973,0.0389,0.01,19.99,789.26,62.73,-230.01,769.27,42.74,-250.0,RETRY
pay_000153_a1,0.1248,0.5417,0.1627,0.0243,249.44,1077.79,310.16,-201.45,828.34,60.72,-450.89,RETRY
pay_000154_a1,0.1144,0.4963,0.1723,0.01,228.59,987.17,329.42,-230.01,758.57,100.83,-458.6,RETRY
pay_000155_a2,0.0426,0.4325,0.0609,0.01,85.14,859.52,106.8,-230.01,774.38,21.66,-315.15,RETRY
pay_000156_a1,0.1491,0.5612,0.1505,0.0494,297.96,1116.88,285.82,-151.28,818.92,-12.14,-449.24,RETRY
pay_000157_a2,0.0807,0.4662,0.0632,0.0296,161.26,926.87,111.35,-190.85,765.62,-49.91,-352.11,RETRY
pay_000158_a3,0.01,0.3723,0.01,0.01,19.99,739.24,4.99,-230.01,719.25,-15.0,-250.0,RETRY
pay_000159_a1,0.0494,0.4338,0.0975,0.01,98.79,862.17,179.89,-230.01,763.39,81.1,-328.8,RETRY
pay_000160_a2,0.01,0.3673,0.01,0.01,19.99,729.14,4.99,-230.01,709.15,-15.0,-250.0,RETRY
pay_000161_a3,0.01,0.3424,0.01,0.01,19.99,679.39,4.99,-230.01,659.4,-15.0,-250.0,RETRY
pay_000162_a4,0.01,0.2005,0.01,0.01,19.99,395.77,4.99,-230.01,375.78,-15.0,-250.0,RETRY
pay_000163_a1,0.0746,0.4347,0.1032,0.01,149.18,864.02,191.38,-230.01,714.84,42.19,-379.19,RETRY
pay_000164_a2,0.01,0.3477,0.01,0.01,19.99,690.01,4.99,-230.01,670.02,-15.0,-250.0,RETRY
pay_000165_a3,0.01,0.2739,0.01,0.01,19.99,542.43,4.99,-230.01,522.44,-15.0,-250.0,RETRY
pay_000166_a1,0.1837,0.5632,0.2224,0.0727,367.29,1120.81,429.57,-104.75,753.51,62.27,-472.04,RETRY
pay_000167_a1,0.1392,0.5206,0.1414,0.0542,278.35,1035.65,267.71,-141.7,757.3,-10.65,-420.06,RETRY
pay_000168_a2,0.1083,0.4839,0.1184,0.0173,216.52,962.28,221.7,-215.39,745.76,5.19,-431.91,RETRY
pay_000169_a3,0.0156,0.4111,0.01,0.01,31.24,816.71,4.99,-230.01,785.47,-26.25,-261.25,RETRY
pay_000170_a4,0.01,0.4276,0.0353,0.01,19.99,849.77,55.54,-230.01,829.78,35.55,-250.0,RETRY
pay_000171_a1,0.3111,0.5167,0.3282,0.3846,310.81,511.16,312.9,134.24,200.35,2.09,-176.57,RETRY
pay_000172_a1,0.4462,0.6151,0.4479,0.4755,445.74,609.5,432.49,225.0,163.76,-13.25,-220.74,RETRY
pay_000173_a1,0.4031,0.5837,0.3896,0.4776,402.69,578.12,374.2,227.11,175.42,-28.49,-175.58,RETRY
pay_000174_a1,0.3808,0.5835,0.3604,0.456,380.4,577.93,345.0,205.51,197.53,-35.4,-174.89,RETRY
pay_000175_a2,0.3015,0.4781,0.2749,0.392,301.23,472.59,259.58,141.62,171.36,-41.65,-159.61,RETRY
pay_000176_a1,0.201,0.3871,0.1864,0.2844,200.83,381.72,171.22,34.14,180.88,-29.62,-166.7,RETRY
pay_000177_a1,0.1575,0.3626,0.1238,0.2223,157.34,357.26,108.69,-27.94,199.93,-48.65,-185.27,RETRY
pay_000178_a1,0.3946,0.5515,0.4554,0.259,394.22,545.97,439.97,8.78,151.75,45.75,-385.44,RETRY
pay_000179_a2,0.3686,0.5241,0.4245,0.2546,368.25,518.62,409.07,4.37,150.37,40.81,-363.88,RETRY
pay_000180_a1,0.3771,0.5473,0.4256,0.2458,376.71,541.78,410.16,-4.46,165.07,33.45,-381.17,RETRY
pay_000181_a1,0.4966,0.6758,0.5323,0.3332,496.06,670.14,516.78,82.91,174.07,20.72,-413.15,RETRY
pay_000182_a2,0.456,0.6304,0.5381,0.3493,455.59,624.77,522.53,98.91,169.18,66.94,-356.68,RETRY
pay_000183_a3,0.4203,0.5865,0.4964,0.2834,419.85,580.94,480.91,33.13,161.08,61.06,-386.72,RETRY
pay_000184_a4,0.2974,0.4267,0.3642,0.118,297.12,421.29,348.8,-132.08,124.17,51.68,-429.2,RETRY
pay_000185_a1,0.01,0.0192,0.01,0.0116,7.99,10.34,-7.01,-240.74,2.35,-15.0,-248.73,RETRY
pay_000186_a2,0.01,0.01,0.01,0.01,7.99,2.99,-7.01,-242.01,-5.0,-15.0,-250.0,WAIT
pay_000187_a1,0.0225,0.1562,0.1113,0.1503,17.99,119.78,73.93,-129.94,101.79,55.95,-147.92,RETRY
pay_000188_a2,0.01,0.0767,0.0614,0.1503,7.99,56.32,34.08,-129.88,48.33,26.09,-137.87,RETRY
pay_000189_a3,0.01,0.0206,0.0345,0.0671,7.99,11.46,12.56,-196.36,3.47,4.57,-204.35,NUDGE
pay_000190_a4,0.01,0.01,0.01,0.01,7.99,2.99,-7.01,-242.01,-5.0,-15.0,-250.0,WAIT
pay_000191_a1,0.01,0.01,0.01,0.01,7.99,2.99,-7.01,-242.01,-5.0,-15.0,-250.0,WAIT
pay_000192_a2,0.01,0.01,0.01,0.01,7.99,2.99,-7.01,-242.01,-5.0,-15.0,-250.0,WAIT
pay_000193_a3,0.01,0.01,0.01,0.01,7.99,2.99,-7.01,-242.01,-5.0,-15.0,-250.0,WAIT
pay_000194_a4,0.01,0.01,0.01,0.01,7.99,2.99,-7.01,-242.01,-5.0,-15.0,-250.0,WAIT
pay_000195_a1,0.01,0.01,0.01,0.01,7.99,2.99,-7.01,-242.01,-5.0,-15.0,-250.0,WAIT
pay_000196_a2,0.01,0.01,0.01,0.01,7.99,2.99,-7.01,-242.01,-5.0,-15.0,-250.0,WAIT
pay_000197_a1,0.01,0.01,0.01,0.01,7.99,2.99,-7.01,-242.01,-5.0,-15.0,-250.0,WAIT
pay_000198_a2,0.01,0.01,0.01,0.01,7.99,2.99,-7.01,-242.01,-5.0,-15.0,-250.0,WAIT
pay_000199_a3,0.01,0.01,0.01,0.01,7.99,2.99,-7.01,-242.01,-5.0,-15.0,-250.0,WAIT
pay_000200_a1,0.01,0.01,0.01,0.01,7.99,2.99,-7.01,-242.01,-5.0,-15.0,-250.0,WAIT
pay_000201_a2,0.01,0.01,0.01,0.01,7.99,2.99,-7.01,-242.01,-5.0,-15.0,-250.0,WAIT
pay_000202_a3,0.01,0.01,0.01,0.01,7.99,2.99,-7.01,-242.01,-5.0,-15.0,-250.0,WAIT
pay_000203_a1,0.01,0.01,0.01,0.01,7.99,2.99,-7.01,-242.01,-5.0,-15.0,-250.0,WAIT
pay_000204_a2,0.01,0.01,0.01,0.01,7.99,2.99,-7.01,-242.01,-5.0,-15.0,-250.0,WAIT
pay_000205_a3,0.01,0.01,0.01,0.01,7.99,2.99,-7.01,-242.01,-5.0,-15.0,-250.0,WAIT
pay_000206_a4,0.01,0.01,0.01,0.01,7.99,2.99,-7.01,-242.01,-5.0,-15.0,-250.0,WAIT
pay_000207_a1,0.01,0.01,0.01,0.01,7.99,2.99,-7.01,-242.01,-5.0,-15.0,-250.0,WAIT
pay_000208_a1,0.01,0.0423,0.01,0.0721,7.99,28.82,-7.01,-192.38,20.83,-15.0,-200.37,RETRY
pay_000209_a2,0.01,0.0282,0.01,0.0474,7.99,17.54,-7.01,-212.14,9.55,-15.0,-220.13,RETRY
pay_000210_a3,0.01,0.01,0.01,0.01,7.99,2.99,-7.01,-242.01,-5.0,-15.0,-250.0,WAIT
pay_000211_a1,0.01,0.01,0.01,0.01,7.99,2.99,-7.01,-242.01,-5.0,-15.0,-250.0,WAIT
pay_000212_a2,0.01,0.01,0.01,0.01,7.99,2.99,-7.01,-242.01,-5.0,-15.0,-250.0,WAIT
pay_000213_a1,0.7338,0.7418,0.7263,0.7184,366.16,365.14,347.43,108.46,-1.03,-18.74,-257.71,WAIT
pay_000214_a2,0.7368,0.7579,0.7601,0.7046,367.68,373.19,364.3,101.61,5.51,-3.38,-266.07,RETRY
pay_000215_a3,0.6589,0.673,0.6485,0.6281,328.81,330.82,308.59,63.42,2.0,-20.23,-265.4,RETRY
pay_000216_a1,0.7107,0.7086,0.7126,0.7081,354.64,348.59,340.6,103.35,-6.05,-14.04,-251.29,WAIT
