payment_id,billing_cycle_id,customer_id,subscription_id,amount,payment_method,failure_reason,attempt_number,cumulative_failures,consecutive_failed_cycles,dynamic_success_rate,days_active,notification_engagement_score,contact_response_score
pay_000039_a2,cyc_000003_001,cust_000003,sub_000003,1999,card,bank_decline,2,2,0,0.333,887,0.626,0.1988
pay_000040_a3,cyc_000003_001,cust_000003,sub_000003,1999,card,bank_decline,3,2,0,0.333,887,0.626,0.1988
pay_000041_a4,cyc_000003_001,cust_000003,sub_000003,1999,card,bank_decline,4,2,0,0.333,887,0.626,0.1988
pay_000042_a1,cyc_000003_009,cust_000003,sub_000003,1999,card,network_error,1,3,0,0.727,1127,0.626,0.1988
pay_000043_a1,cyc_000003_010,cust_000003,sub_000003,1999,card,authentication_failure,1,4,1,0.667,1157,0.626,0.1988
pay_000044_a2,cyc_000003_010,cust_000003,sub_000003,1999,card,authentication_failure,2,4,1,0.667,1157,0.626,0.1988
pay_000045_a3,cyc_000003_010,cust_000003,sub_000003,1999,card,authentication_failure,3,4,1,0.667,1157,0.626,0.1988
pay_000046_a1,cyc_000004_004,cust_000004,sub_000004,499,card,insufficient_funds,1,1,0,0.909,994,0.8888,0.362
pay_000047_a2,cyc_000004_004,cust_000004,sub_000004,499,card,insufficient_funds,2,1,0,0.909,994,0.8888,0.362
pay_000048_a1,cyc_000005_001,cust_000005,sub_000005,799,wallet,authentication_failure,1,4,0,0.556,627,0.4151,0.6691
pay_000049_a1,cyc_000005_002,cust_000005,sub_000005,799,wallet,expired_card,1,5,1,0.5,657,0.4151,0.6691
pay_000050_a2,cyc_000005_002,cust_000005,sub_000005,799,wallet,expired_card,2,5,1,0.5,657,0.4151,0.6691
pay_000051_a1,cyc_000005_006,cust_000005,sub_000005,799,wallet,bank_decline,1,6,0,0.571,777,0.4151,0.6691
pay_000052_a1,cyc_000005_007,cust_000005,sub_000005,799,wallet,authentication_failure,1,7,1,0.533,807,0.4151,0.6691
pay_000053_a1,cyc_000005_008,cust_000005,sub_000005,799,wallet,authentication_failure,1,8,2,0.5,837,0.4151,0.6691
pay_000054_a1,cyc_000005_010,cust_000005,sub_000005,799,wallet,authentication_failure,1,9,0,0.5,897,0.4151,0.6691
pay_000055_a1,cyc_000005_012,cust_000005,sub_000005,799,wallet,network_error,1,10,0,0.5,957,0.4151,0.6691
pay_000056_a1,cyc_000006_003,cust_000006,sub_000006,2999,netbanking,insufficient_funds,1,1,0,0.917,703,0.4076,0.1856
pay_000057_a2,cyc_000006_003,cust_000006,sub_000006,2999,netbanking,insufficient_funds,2,1,0,0.917,703,0.4076,0.1856
pay_000058_a1,cyc_000008_002,cust_000008,sub_000008,999,card,network_error,1,3,0,0.667,656,0.9355,0.5737
pay_000059_a1,cyc_000008_003,cust_000008,sub_000008,999,card,authentication_failure,1,4,1,0.6,686,0.9355,0.5737
pay_000060_a2,cyc_000008_003,cust_000008,sub_000008,999,card,authentication_failure,2,4,1,0.6,686,0.9355,0.5737
pay_000061_a3,cyc_000008_003,cust_000008,sub_000008,999,card,authentication_failure,3,4,1,0.6,686,0.9355,0.5737
pay_000062_a4,cyc_000008_003,cust_000008,sub_000008,999,card,authentication_failure,4,4,1,0.6,686,0.9355,0.5737
pay_000063_a1,cyc_000008_004,cust_000008,sub_000008,999,card,bank_decline,1,5,2,0.545,716,0.9355,0.5737
pay_000064_a2,cyc_000008_004,cust_000008,sub_000008,999,card,bank_decline,2,5,2,0.545,716,0.9355,0.5737
pay_000065_a1,cyc_000008_005,cust_000008,sub_000008,999,card,expired_card,1,6,3,0.5,746,0.9355,0.5737
pay_000066_a1,cyc_000008_008,cust_000008,sub_000008,999,card,expired_card,1,7,0,0.533,836,0.9355,0.5737
pay_000067_a1,cyc_000008_009,cust_000008,sub_000008,999,card,insufficient_funds,1,8,1,0.5,866,0.9355,0.5737
pay_000068_a2,cyc_000008_009,cust_000008,sub_000008,999,card,insufficient_funds,2,8,1,0.5,866,0.9355,0.5737
pay_000069_a3,cyc_000008_009,cust_000008,sub_000008,999,card,insufficient_funds,3,8,1,0.5,866,0.9355,0.5737
pay_000070_a1,cyc_000008_010,cust_000008,sub_000008,999,card,insufficient_funds,1,9,2,0.471,896,0.9355,0.5737
pay_000071_a1,cyc_000008_011,cust_000008,sub_000008,999,card,insufficient_funds,1,10,3,0.444,926,0.9355,0.5737
pay_000072_a2,cyc_000008_011,cust_000008,sub_000008,999,card,insufficient_funds,2,10,3,0.444,926,0.9355,0.5737
pay_000073_a3,cyc_000008_011,cust_000008,sub_000008,999,card,insufficient_funds,3,10,3,0.444,926,0.9355,0.5737
pay_000074_a4,cyc_000008_011,cust_000008,sub_000008,999,card,insufficient_funds,4,10,3,0.444,926,0.9355,0.5737
pay_000075_a1,cyc_000008_012,cust_000008,sub_000008,999,card,insufficient_funds,1,11,4,0.421,956,0.9355,0.5737
pay_000076_a2,cyc_000008_012,cust_000008,sub_000008,999,card,insufficient_funds,2,11,4,0.421,956,0.9355,0.5737
pay_000077_a1,cyc_000009_011,cust_000009,sub_000009,2999,wallet,expired_card,1,1,0,0.952,761,0.4956,0.3604
pay_000078_a1,cyc_000010_005,cust_000010,sub_000010,9999,wallet,insufficient_funds,1,2,0,0.818,1040,0.6275,0.5589
pay_000079_a1,cyc_000010_006,cust_000010,sub_000010,9999,wallet,network_error,1,3,1,0.75,1070,0.6275,0.5589
pay_000080_a2,cyc_000010_006,cust_000010,sub_000010,9999,wallet,network_error,2,3,1,0.75,1070,0.6275,0.5589
pay_000081_a1,cyc_000010_007,cust_000010,sub_000010,9999,wallet,network_error,1,4,2,0.692,1100,0.6275,0.5589
pay_000082_a1,cyc_000010_012,cust_000010,sub_000010,9999,wallet,bank_decline,1,5,0,0.722,1250,0.6275,0.5589
pay_000083_a2,cyc_000010_012,cust_000010,sub_000010,9999,wallet,bank_decline,2,5,0,0.722,1250,0.6275,0.5589
pay_000084_a3,cyc_000010_012,cust_000010,sub_000010,9999,wallet,bank_decline,3,5,0,0.722,1250,0.6275,0.5589
pay_000085_a1,cyc_000012_001,cust_000012,sub_000012,499,card,insufficient_funds,1,5,0,0.375,688,0.8135,0.2055
pay_000086_a1,cyc_000012_002,cust_000012,sub_000012,499,card,bank_decline,1,6,1,0.333,718,0.8135,0.2055
pay_000087_a2,cyc_000012_002,cust_000012,sub_000012,499,card,bank_decline,2,6,1,0.333,718,0.8135,0.2055
pay_000088_a1,cyc_000012_003,cust_000012,sub_000012,499,card,expired_card,1,7,2,0.3,748,0.8135,0.2055
pay_000089_a1,cyc_000012_004,cust_000012,sub_000012,499,card,authentication_failure,1,8,3,0.273,778,0.8135,0.2055
pay_000090_a2,cyc_000012_004,cust_000012,sub_000012,499,card,authentication_failure,2,8,3,0.273,778,0.8135,0.2055
pay_000091_a1,cyc_000012_005,cust_000012,sub_000012,499,card,bank_decline,1,9,4,0.25,808,0.8135,0.2055
pay_000092_a1,cyc_000012_006,cust_000012,sub_000012,499,card,insufficient_funds,1,10,5,0.231,838,0.8135,0.2055
pay_000093_a2,cyc_000012_006,cust_000012,sub_000012,499,card,insufficient_funds,2,10,5,0.231,838,0.8135,0.2055
pay_000094_a3,cyc_000012_006,cust_000012,sub_000012,499,card,insufficient_funds,3,10,5,0.231,838,0.8135,0.2055
pay_000095_a4,cyc_000012_006,cust_000012,sub_000012,499,card,insufficient_funds,4,10,5,0.231,838,0.8135,0.2055
pay_000096_a1,cyc_000012_007,cust_000012,sub_000012,499,card,network_error,1,11,6,0.214,868,0.8135,0.2055
pay_000097_a2,cyc_000012_007,cust_000012,sub_000012,499,card,network_error,2,11,6,0.214,868,0.8135,0.2055
pay_000098_a3,cyc_000012_007,cust_000012,sub_000012,499,card,network_error,3,11,6,0.214,868,0.8135,0.2055
pay_000099_a4,cyc_000012_007,cust_000012,sub_000012,499,card,network_error,4,11,6,0.214,868,0.8135,0.2055
pay_000100_a1,cyc_000012_008,cust_000012,sub_000012,499,card,insufficient_funds,1,12,7,0.2,898,0.8135,0.2055
pay_000101_a2,cyc_000012_008,cust_000012,sub_000012,499,card,insufficient_funds,2,12,7,0.2,898,0.8135,0.2055
pay_000102_a3,cyc_000012_008,cust_000012,sub_000012,499,card,insufficient_funds,3,12,7,0.2,898,0.8135,0.2055
pay_000103_a4,cyc_000012_008,cust_000012,sub_000012,499,card,insufficient_funds,4,12,7,0.2,898,0.8135,0.2055
pay_000104_a1,cyc_000012_010,cust_000012,sub_000012,499,card,insufficient_funds,1,13,0,0.235,958,0.8135,0.2055
pay_000105_a2,cyc_000012_010,cust_000012,sub_000012,499,card,insufficient_funds,2,13,0,0.235,958,0.8135,0.2055
pay_000106_a1,cyc_000012_012,cust_000012,sub_000012,499,card,expired_card,1,14,0,0.263,1018,0.8135,0.2055
pay_000107_a2,cyc_000012_012,cust_000012,sub_000012,499,card,expired_card,2,14,0,0.263,1018,0.8135,0.2055
pay_000108_a3,cyc_000012_012,cust_000012,sub_000012,499,card,expired_card,3,14,0,0.263,1018,0.8135,0.2055
pay_000109_a4,cyc_000012_012,cust_000012,sub_000012,499,card,expired_card,4,14,0,0.263,1018,0.8135,0.2055
pay_000110_a1,cyc_000013_001,cust_000013,sub_000013,4999,upi,insufficient_funds,1,3,0,0.571,576,0.6329,1.0
pay_000111_a2,cyc_000013_001,cust_000013,sub_000013,4999,upi,insufficient_funds,2,3,0,0.571,576,0.6329,1.0
pay_000112_a1,cyc_000013_002,cust_000013,sub_000013,4999,upi,insufficient_funds,1,4,1,0.5,606,0.6329,1.0
pay_000113_a1,cyc_000013_003,cust_000013,sub_000013,4999,upi,bank_decline,1,5,2,0.444,636,0.6329,1.0
pay_000114_a2,cyc_000013_003,cust_000013,sub_000013,4999,upi,bank_decline,2,5,2,0.444,636,0.6329,1.0
pay_000115_a1,cyc_000013_004,cust_000013,sub_000013,4999,upi,expired_card,1,6,3,0.4,666,0.6329,1.0
pay_000116_a1,cyc_000013_005,cust_000013,sub_000013,4999,upi,temporary_bank_issue,1,7,4,0.364,696,0.6329,1.0
pay_000117_a2,cyc_000013_005,cust_000013,sub_000013,4999,upi,temporary_bank_issue,2,7,4,0.364,696,0.6329,1.0
pay_000118_a1,cyc_000013_006,cust_000013,sub_000013,4999,upi,insufficient_funds,1,8,5,0.333,726,0.6329,1.0
pay_000119_a1,cyc_000013_007,cust_000013,sub_000013,4999,upi,network_error,1,9,6,0.308,756,0.6329,1.0
pay_000120_a1,cyc_000013_008,cust_000013,sub_000013,4999,upi,expired_card,1,10,7,0.286,786,0.6329,1.0
pay_000121_a1,cyc_000013_009,cust_000013,sub_000013,4999,upi,network_error,1,11,8,0.267,816,0.6329,1.0
pay_000122_a2,cyc_000013_009,cust_000013,sub_000013,4999,upi,network_error,2,11,8,0.267,816,0.6329,1.0
pay_000123_a3,cyc_000013_009,cust_000013,sub_000013,4999,upi,network_error,3,11,8,0.267,816,0.6329,1.0
pay_000124_a4,cyc_000013_009,cust_000013,sub_000013,4999,upi,network_error,4,11,8,0.267,816,0.6329,1.0
pay_000125_a1,cyc_000013_010,cust_000013,sub_000013,4999,upi,temporary_bank_issue,1,12,9,0.25,846,0.6329,1.0
pay_000126_a2,cyc_000013_010,cust_000013,sub_000013,4999,upi,temporary_bank_issue,2,12,9,0.25,846,0.6329,1.0
pay_000127_a3,cyc_000013_010,cust_000013,sub_000013,4999,upi,temporary_bank_issue,3,12,9,0.25,846,0.6329,1.0
pay_000128_a1,cyc_000013_011,cust_000013,sub_000013,4999,upi,insufficient_funds,1,13,10,0.235,876,0.6329,1.0
pay_000129_a2,cyc_000013_011,cust_000013,sub_000013,4999,upi,insufficient_funds,2,13,10,0.235,876,0.6329,1.0
pay_000130_a3,cyc_000013_011,cust_000013,sub_000013,4999,upi,insufficient_funds,3,13,10,0.235,876,0.6329,1.0
pay_000131_a4,cyc_000013_011,cust_000013,sub_000013,4999,upi,insufficient_funds,4,13,10,0.235,876,0.6329,1.0
pay_000132_a1,cyc_000014_007,cust_000014,sub_000014,2999,upi,temporary_bank_issue,1,0,0,1.0,774,0.2255,0.4603
pay_000133_a2,cyc_000014_007,cust_000014,sub_000014,2999,upi,temporary_bank_issue,2,0,0,1.0,774,0.2255,0.4603
pay_000134_a3,cyc_000014_007,cust_000014,sub_000014,2999,upi,temporary_bank_issue,3,0,0,1.0,774,0.2255,0.4603
pay_000135_a4,cyc_000014_007,cust_000014,sub_000014,2999,upi,temporary_bank_issue,4,0,0,1.0,774,0.2255,0.4603
pay_000136_a1,cyc_000014_009,cust_000014,sub_000014,2999,upi,insufficient_funds,1,1,0,0.944,834,0.2255,0.4603
pay_000137_a1,cyc_000015_005,cust_000015,sub_000015,1499,upi,bank_decline,1,4,0,0.667,407,0.7042,0.6033
pay_000138_a2,cyc_000015_005,cust_000015,sub_000015,1499,upi,bank_decline,2,4,0,0.667,407,0.7042,0.6033
pay_000139_a3,cyc_000015_005,cust_000015,sub_000015,1499,upi,bank_decline,3,4,0,0.667,407,0.7042,0.6033
pay_000140_a1,cyc_000015_008,cust_000015,sub_000015,1499,upi,bank_decline,1,5,0,0.667,497,0.7042,0.6033
pay_000141_a2,cyc_000015_008,cust_000015,sub_000015,1499,upi,bank_decline,2,5,0,0.667,497,0.7042,0.6033
pay_000142_a1,cyc_000015_011,cust_000015,sub_000015,1499,upi,insufficient_funds,1,6,0,0.667,587,0.7042,0.6033
pay_000143_a1,cyc_000015_012,cust_000015,sub_000015,1499,upi,temporary_bank_issue,1,7,1,0.632,617,0.7042,0.6033
pay_000144_a1,cyc_000016_002,cust_000016,sub_000016,499,upi,network_error,1,0,0,1.0,393,0.786,0.3493
pay_000145_a2,cyc_000016_002,cust_000016,sub_000016,499,upi,network_error,2,0,0,1.0,393,0.786,0.3493
pay_000146_a1,cyc_000016_009,cust_000016,sub_000016,499,upi,insufficient_funds,1,1,0,0.941,603,0.786,0.3493
pay_000147_a1,cyc_000017_001,cust_000017,sub_000017,1999,card,network_error,1,3,0,0.571,537,0.1093,0.5413
pay_000148_a2,cyc_000017_001,cust_000017,sub_000017,1999,card,network_error,2,3,0,0.571,537,0.1093,0.5413
pay_000149_a1,cyc_000017_002,cust_000017,sub_000017,1999,card,insufficient_funds,1,4,1,0.5,567,0.1093,0.5413
pay_000150_a2,cyc_000017_002,cust_000017,sub_000017,1999,card,insufficient_funds,2,4,1,0.5,567,0.1093,0.5413
pay_000151_a3,cyc_000017_002,cust_000017,sub_000017,1999,card,insufficient_funds,3,4,1,0.5,567,0.1093,0.5413
pay_000152_a4,cyc_000017_002,cust_000017,sub_000017,1999,card,insufficient_funds,4,4,1,0.5,567,0.1093,0.5413
pay_000153_a1,cyc_000017_005,cust_000017,sub_000017,1999,card,insufficient_funds,1,5,0,0.545,657,0.1093,0.5413
pay_000154_a1,cyc_000017_006,cust_000017,sub_000017,1999,card,expired_card,1,6,1,0.5,687,0.1093,0.5413
pay_000155_a2,cyc_000017_006,cust_000017,sub_000017,1999,card,expired_card,2,6,1,0.5,687,0.1093,0.5413
pay_000156_a1,cyc_000017_007,cust_000017,sub_000017,1999,card,authentication_failure,1,7,2,0.462,717,0.1093,0.5413
pay_000157_a2,cyc_000017_007,cust_000017,sub_000017,1999,card,authentication_failure,2,7,2,0.462,717,0.1093,0.5413
pay_000158_a3,cyc_000017_007,cust_000017,sub_000017,1999,card,authentication_failure,3,7,2,0.462,717,0.1093,0.5413
pay_000159_a1,cyc_000017_008,cust_000017,sub_000017,1999,card,expired_card,1,8,3,0.429,747,0.1093,0.5413
pay_000160_a2,cyc_000017_008,cust_000017,sub_000017,1999,card,expired_card,2,8,3,0.429,747,0.1093,0.5413
pay_000161_a3,cyc_000017_008,cust_000017,sub_000017,1999,card,expired_card,3,8,3,0.429,747,0.1093,0.5413
pay_000162_a4,cyc_000017_008,cust_000017,sub_000017,1999,card,expired_card,4,8,3,0.429,747,0.1093,0.5413
pay_000163_a1,cyc_000017_009,cust_000017,sub_000017,1999,card,insufficient_funds,1,9,4,0.4,777,0.1093,0.5413
pay_000164_a2,cyc_000017_009,cust_000017,sub_000017,1999,card,insufficient_funds,2,9,4,0.4,777,0.1093,0.5413
pay_000165_a3,cyc_000017_009,cust_000017,sub_000017,1999,card,insufficient_funds,3,9,4,0.4,777,0.1093,0.5413
pay_000166_a1,cyc_000017_010,cust_000017,sub_000017,1999,card,network_error,1,10,5,0.375,807,0.1093,0.5413
pay_000167_a1,cyc_000017_012,cust_000017,sub_000017,1999,card,network_error,1,11,0,0.389,867,0.1093,0.5413
pay_000168_a2,cyc_000017_012,cust_000017,sub_000017,1999,card,network_error,2,11,0,0.389,867,0.1093,0.5413
pay_000169_a3,cyc_000017_012,cust_000017,sub_000017,1999,card,network_error,3,11,0,0.389,867,0.1093,0.5413
pay_000170_a4,cyc_000017_012,cust_000017,sub_000017,1999,card,network_error,4,11,0,0.389,867,0.1093,0.5413
pay_000171_a1,cyc_000019_001,cust_000019,sub_000019,999,card,authentication_failure,1,3,0,0.625,240,0.5341,0.5389
pay_000172_a1,cyc_000019_002,cust_000019,sub_000019,999,card,network_error,1,4,1,0.556,270,0.5341,0.5389
pay_000173_a1,cyc_000019_008,cust_000019,sub_000019,999,card,network_error,1,5,0,0.667,450,0.5341,0.5389
pay_000174_a1,cyc_000019_010,cust_000019,sub_000019,999,card,network_error,1,6,0,0.647,510,0.5341,0.5389
pay_000175_a2,cyc_000019_010,cust_000019,sub_000019,999,card,network_error,2,6,0,0.647,510,0.5341,0.5389
pay_000176_a1,cyc_000019_011,cust_000019,sub_000019,999,card,insufficient_funds,1,7,1,0.611,540,0.5341,0.5389
pay_000177_a1,cyc_000019_012,cust_000019,sub_000019,999,card,insufficient_funds,1,8,2,0.579,570,0.5341,0.5389
pay_000178_a1,cyc_000020_001,cust_000020,sub_000020,999,upi,insufficient_funds,1,2,0,0.75,875,0.6343,0.707
pay_000179_a2,cyc_000020_001,cust_000020,sub_000020,999,upi,insufficient_funds,2,2,0,0.75,875,0.6343,0.707
pay_000180_a1,cyc_000020_003,cust_000020,sub_000020,999,upi,authentication_failure,1,3,0,0.7,935,0.6343,0.707
pay_000181_a1,cyc_000020_004,cust_000020,sub_000020,999,upi,network_error,1,4,1,0.636,965,0.6343,0.707
pay_000182_a2,cyc_000020_004,cust_000020,sub_000020,999,upi,network_error,2,4,1,0.636,965,0.6343,0.707
pay_000183_a3,cyc_000020_004,cust_000020,sub_000020,999,upi,network_error,3,4,1,0.636,965,0.6343,0.707
pay_000184_a4,cyc_000020_004,cust_000020,sub_000020,999,upi,network_error,4,4,1,0.636,965,0.6343,0.707
pay_000185_a1,cyc_000022_002,cust_000022,sub_000022,799,card,insufficient_funds,1,10,0,0.231,921,0.6438,0.5993
pay_000186_a2,cyc_000022_002,cust_000022,sub_000022,799,card,insufficient_funds,2,10,0,0.231,921,0.6438,0.5993
pay_000187_a1,cyc_000022_003,cust_000022,sub_000022,799,card,temporary_bank_issue,1,11,1,0.214,951,0.6438,0.5993
pay_000188_a2,cyc_000022_003,cust_000022,sub_000022,799,card,temporary_bank_issue,2,11,1,0.214,951,0.6438,0.5993
pay_000189_a3,cyc_000022_003,cust_000022,sub_000022,799,card,temporary_bank_issue,3,11,1,0.214,951,0.6438,0.5993
pay_000190_a4,cyc_000022_003,cust_000022,sub_000022,799,card,temporary_bank_issue,4,11,1,0.214,951,0.6438,0.5993
pay_000191_a1,cyc_000022_004,cust_000022,sub_000022,799,card,insufficient_funds,1,12,2,0.2,981,0.6438,0.5993
pay_000192_a2,cyc_000022_004,cust_000022,sub_000022,799,card,insufficient_funds,2,12,2,0.2,981,0.6438,0.5993
pay_000193_a3,cyc_000022_004,cust_000022,sub_000022,799,card,insufficient_funds,3,12,2,0.2,981,0.6438,0.5993
pay_000194_a4,cyc_000022_004,cust_000022,sub_000022,799,card,insufficient_funds,4,12,2,0.2,981,0.6438,0.5993
pay_000195_a1,cyc_000022_005,cust_000022,sub_000022,799,card,bank_decline,1,13,3,0.188,1011,0.6438,0.5993
pay_000196_a2,cyc_000022_005,cust_000022,sub_000022,799,card,bank_decline,2,13,3,0.188,1011,0.6438,0.5993
pay_000197_a1,cyc_000022_006,cust_000022,sub_000022,799,card,authentication_failure,1,14,4,0.176,1041,0.6438,0.5993
pay_000198_a2,cyc_000022_006,cust_000022,sub_000022,799,card,authentication_failure,2,14,4,0.176,1041,0.6438,0.5993
pay_000199_a3,cyc_000022_006,cust_000022,sub_000022,799,card,authentication_failure,3,14,4,0.176,1041,0.6438,0.5993
pay_000200_a1,cyc_000022_007,cust_000022,sub_000022,799,card,bank_decline,1,15,5,0.167,1071,0.6438,0.5993
pay_000201_a2,cyc_000022_007,cust_000022,sub_000022,799,card,bank_decline,2,15,5,0.167,1071,0.6438,0.5993
pay_000202_a3,cyc_000022_007,cust_000022,sub_000022,799,card,bank_decline,3,15,5,0.167,1071,0.6438,0.5993
pay_000203_a1,cyc_000022_008,cust_000022,sub_000022,799,card,insufficient_funds,1,16,6,0.158,1101,0.6438,0.5993
pay_000204_a2,cyc_000022_008,cust_000022,sub_000022,799,card,insufficient_funds,2,16,6,0.158,1101,0.6438,0.5993
pay_000205_a3,cyc_000022_008,cust_000022,sub_000022,799,card,insufficient_funds,3,16,6,0.158,1101,0.6438,0.5993
pay_000206_a4,cyc_000022_008,cust_000022,sub_000022,799,card,insufficient_funds,4,16,6,0.158,1101,0.6438,0.5993
pay_000207_a1,cyc_000022_009,cust_000022,sub_000022,799,card,insufficient_funds,1,17,7,0.15,1131,0.6438,0.5993
pay_000208_a1,cyc_000022_010,cust_000022,sub_000022,799,card,network_error,1,18,8,0.143,1161,0.6438,0.5993
pay_000209_a2,cyc_000022_010,cust_000022,sub_000022,799,card,network_error,2,18,8,0.143,1161,0.6438,0.5993
pay_000210_a3,cyc_000022_010,cust_000022,sub_000022,799,card,network_error,3,18,8,0.143,1161,0.6438,0.5993
pay_000211_a1,cyc_000022_011,cust_000022,sub_000022,799,card,expired_card,1,19,9,0.136,1191,0.6438,0.5993
pay_000212_a2,cyc_000022_011,cust_000022,sub_000022,799,card,expired_card,2,19,9,0.136,1191,0.6438,0.5993
pay_000213_a1,cyc_000023_002,cust_000023,sub_000023,499,card,insufficient_funds,1,1,0,0.909,598,0.4796,0.527
pay_000214_a2,cyc_000023_002,cust_000023,sub_000023,499,card,insufficient_funds,2,1,0,0.909,598,0.4796,0.527
pay_000215_a3,cyc_000023_002,cust_000023,sub_000023,499,card,insufficient_funds,3,1,0,0.909,598,0.4796,0.527
pay_000216_a1,cyc_000023_004,cust_000023,sub_000023,499,card,insufficient_funds,1,2,0,0.846,658,0.4796,0.527
pay_000217_a1,cyc_000024_003,cust_000024,sub_000024,1999,card,authentication_failure,1,3,0,0.75,500,0.6545,0.3311
