payment_id,amount,attempt_number,dynamic_success_rate,cumulative_failures,consecutive_failed_cycles,notification_engagement_score,contact_response_score,payment_method,failure_reason,assigned_T,realized_Y
pay_000048_a1,1499,1,0.091,10,6,0.3286,0.1915,upi,bank_decline,ESCALATE,0
pay_000049_a2,1499,2,0.091,10,6,0.3286,0.1915,upi,bank_decline,ESCALATE,0
pay_000050_a3,1499,3,0.091,10,6,0.3286,0.1915,upi,bank_decline,WAIT,0
pay_000051_a1,1499,1,0.083,11,7,0.3286,0.1915,upi,insufficient_funds,RETRY,0
pay_000052_a1,1499,1,0.077,12,8,0.3286,0.1915,upi,authentication_failure,RETRY,0
pay_000053_a1,1499,1,0.133,13,0,0.3286,0.1915,upi,bank_decline,ESCALATE,0
pay_000054_a2,1499,2,0.133,13,0,0.3286,0.1915,upi,bank_decline,ESCALATE,0
pay_000055_a1,999,1,0.8,1,0,0.0,0.6688,upi,temporary_bank_issue,RETRY,1
pay_000056_a1,999,1,0.667,2,1,0.0,0.6688,upi,authentication_failure,RETRY,0
pay_000057_a1,999,1,0.625,3,0,0.0,0.6688,upi,temporary_bank_issue,WAIT,0
pay_000058_a2,999,2,0.625,3,0,0.0,0.6688,upi,temporary_bank_issue,RETRY,1
pay_000059_a1,1999,1,0.4,6,0,0.4592,0.7207,card,bank_decline,WAIT,1
pay_000060_a1,1999,1,0.417,7,0,0.4592,0.7207,card,bank_decline,WAIT,0
pay_000061_a2,1999,2,0.417,7,0,0.4592,0.7207,card,bank_decline,ESCALATE,0
pay_000062_a1,1999,1,0.385,8,1,0.4592,0.7207,card,insufficient_funds,RETRY,0
pay_000063_a1,1999,1,0.4,9,0,0.4592,0.7207,card,bank_decline,ESCALATE,0
pay_000064_a1,1999,1,0.375,10,1,0.4592,0.7207,card,insufficient_funds,RETRY,0
pay_000065_a1,1999,1,0.353,11,2,0.4592,0.7207,card,network_error,RETRY,0
pay_000066_a1,1999,1,0.333,12,3,0.4592,0.7207,card,expired_card,ESCALATE,0
pay_000067_a1,1999,1,0.316,13,4,0.4592,0.7207,card,temporary_bank_issue,RETRY_NUDGE,0
pay_000068_a1,1999,1,0.3,14,5,0.4592,0.7207,card,expired_card,RETRY,1
pay_000069_a1,1999,1,0.286,15,6,0.4592,0.7207,card,network_error,RETRY,0
pay_000070_a1,1999,1,0.444,5,0,0.7455,0.8829,card,temporary_bank_issue,ESCALATE,0
pay_000071_a1,1999,1,0.455,6,0,0.7455,0.8829,card,network_error,RETRY,0
pay_000072_a2,1999,2,0.455,6,0,0.7455,0.8829,card,network_error,RETRY,0
pay_000073_a3,1999,3,0.455,6,0,0.7455,0.8829,card,network_error,RETRY,1
pay_000074_a4,1999,4,0.455,6,0,0.7455,0.8829,card,network_error,RETRY,0
pay_000075_a1,1999,1,0.417,7,1,0.7455,0.8829,card,expired_card,RETRY,1
pay_000076_a2,1999,2,0.417,7,1,0.7455,0.8829,card,expired_card,ESCALATE,0
pay_000077_a1,1999,1,0.385,8,2,0.7455,0.8829,card,expired_card,WAIT,0
pay_000078_a1,1999,1,0.4,9,0,0.7455,0.8829,card,insufficient_funds,ESCALATE,0
pay_000079_a1,1999,1,0.375,10,1,0.7455,0.8829,card,expired_card,WAIT,0
pay_000080_a1,1999,1,0.389,11,0,0.7455,0.8829,card,expired_card,WAIT,0
pay_000081_a2,1999,2,0.389,11,0,0.7455,0.8829,card,expired_card,RETRY,0
pay_000082_a1,1999,1,0.4,12,0,0.7455,0.8829,card,network_error,WAIT,0
pay_000083_a1,1499,1,0.7,3,0,0.6404,0.968,wallet,bank_decline,RETRY_NUDGE,0
pay_000084_a2,1499,2,0.7,3,0,0.6404,0.968,wallet,bank_decline,WAIT,0
pay_000085_a3,1499,3,0.7,3,0,0.6404,0.968,wallet,bank_decline,WAIT,0
pay_000086_a4,1499,4,0.7,3,0,0.6404,0.968,wallet,bank_decline,ESCALATE,0
pay_000087_a1,1499,1,0.789,4,0,0.6404,0.968,wallet,insufficient_funds,ESCALATE,0
pay_000088_a2,1499,2,0.789,4,0,0.6404,0.968,wallet,insufficient_funds,RETRY_NUDGE,0
pay_000089_a3,1499,3,0.789,4,0,0.6404,0.968,wallet,insufficient_funds,ESCALATE,1
pay_000090_a1,4999,1,0.429,4,0,0.2323,0.3766,upi,insufficient_funds,RETRY,0
pay_000091_a2,4999,2,0.429,4,0,0.2323,0.3766,upi,insufficient_funds,WAIT,0
pay_000092_a1,4999,1,0.375,5,1,0.2323,0.3766,upi,insufficient_funds,ESCALATE,0
pay_000093_a2,4999,2,0.375,5,1,0.2323,0.3766,upi,insufficient_funds,WAIT,0
pay_000094_a1,4999,1,0.5,6,0,0.2323,0.3766,upi,bank_decline,RETRY,0
pay_000095_a2,4999,2,0.5,6,0,0.2323,0.3766,upi,bank_decline,RETRY,0
pay_000096_a3,4999,3,0.5,6,0,0.2323,0.3766,upi,bank_decline,RETRY_NUDGE,0
pay_000097_a1,4999,1,0.462,7,1,0.2323,0.3766,upi,network_error,WAIT,0
pay_000098_a2,4999,2,0.462,7,1,0.2323,0.3766,upi,network_error,WAIT,0
pay_000099_a1,4999,1,0.429,8,2,0.2323,0.3766,upi,bank_decline,WAIT,0
pay_000100_a2,4999,2,0.429,8,2,0.2323,0.3766,upi,bank_decline,WAIT,0
pay_000101_a1,4999,1,0.438,9,0,0.2323,0.3766,upi,insufficient_funds,WAIT,0
pay_000102_a2,4999,2,0.438,9,0,0.2323,0.3766,upi,insufficient_funds,RETRY_NUDGE,0
pay_000103_a1,499,1,0.8,2,0,0.4874,0.6321,card,insufficient_funds,RETRY_NUDGE,0
pay_000104_a2,499,2,0.8,2,0,0.4874,0.6321,card,insufficient_funds,RETRY,1
pay_000105_a1,499,1,0.727,3,1,0.4874,0.6321,card,expired_card,RETRY_NUDGE,0
pay_000106_a1,499,1,0.692,4,0,0.4874,0.6321,card,insufficient_funds,RETRY,1
pay_000107_a2,499,2,0.692,4,0,0.4874,0.6321,card,insufficient_funds,ESCALATE,0
pay_000108_a3,499,3,0.692,4,0,0.4874,0.6321,card,insufficient_funds,RETRY,0
pay_000109_a1,499,1,0.643,5,1,0.4874,0.6321,card,bank_decline,RETRY_NUDGE,1
pay_000110_a2,499,2,0.643,5,1,0.4874,0.6321,card,bank_decline,RETRY,0
pay_000111_a3,499,3,0.643,5,1,0.4874,0.6321,card,bank_decline,RETRY_NUDGE,0
pay_000112_a1,499,1,0.947,1,0,0.193,0.343,upi,bank_decline,RETRY_NUDGE,1
pay_000113_a2,499,2,0.947,1,0,0.193,0.343,upi,bank_decline,ESCALATE,1
pay_000114_a3,499,3,0.947,1,0,0.193,0.343,upi,bank_decline,RETRY,0
pay_000115_a4,499,4,0.947,1,0,0.193,0.343,upi,bank_decline,WAIT,1
pay_000116_a1,499,1,0.6,4,0,0.5882,0.4896,card,network_error,RETRY,0
pay_000117_a1,499,1,0.583,5,0,0.5882,0.4896,card,insufficient_funds,RETRY_NUDGE,0
pay_000118_a1,499,1,0.571,6,0,0.5882,0.4896,card,insufficient_funds,WAIT,0
pay_000119_a1,499,1,0.562,7,0,0.5882,0.4896,card,temporary_bank_issue,ESCALATE,0
pay_000120_a1,499,1,0.529,8,1,0.5882,0.4896,card,bank_decline,RETRY_NUDGE,0
pay_000121_a1,499,1,0.5,9,2,0.5882,0.4896,card,bank_decline,RETRY,0
pay_000122_a1,499,1,0.474,10,3,0.5882,0.4896,card,network_error,RETRY_NUDGE,0
pay_000123_a2,499,2,0.474,10,3,0.5882,0.4896,card,network_error,RETRY_NUDGE,0
pay_000124_a3,499,3,0.474,10,3,0.5882,0.4896,card,network_error,RETRY,0
pay_000125_a4,499,4,0.474,10,3,0.5882,0.4896,card,network_error,RETRY_NUDGE,0
pay_000126_a1,999,1,0.625,3,0,0.3948,0.2325,upi,expired_card,RETRY,1
pay_000127_a1,999,1,0.556,4,1,0.3948,0.2325,upi,bank_decline,ESCALATE,0
pay_000128_a2,999,2,0.556,4,1,0.3948,0.2325,upi,bank_decline,ESCALATE,0
pay_000129_a1,999,1,0.5,5,2,0.3948,0.2325,upi,insufficient_funds,RETRY_NUDGE,0
pay_000130_a1,999,1,0.455,6,3,0.3948,0.2325,upi,insufficient_funds,WAIT,0
pay_000131_a2,999,2,0.455,6,3,0.3948,0.2325,upi,insufficient_funds,RETRY,0
pay_000132_a1,999,1,0.462,7,0,0.3948,0.2325,upi,insufficient_funds,RETRY,0
pay_000133_a2,999,2,0.462,7,0,0.3948,0.2325,upi,insufficient_funds,RETRY_NUDGE,0
pay_000134_a1,999,1,0.429,8,1,0.3948,0.2325,upi,insufficient_funds,RETRY_NUDGE,0
pay_000135_a1,999,1,0.471,9,0,0.3948,0.2325,upi,insufficient_funds,WAIT,0
pay_000136_a1,2999,1,0.571,3,0,0.7193,0.1173,card,insufficient_funds,RETRY_NUDGE,1
pay_000137_a2,2999,2,0.571,3,0,0.7193,0.1173,card,insufficient_funds,WAIT,0
pay_000138_a3,2999,3,0.571,3,0,0.7193,0.1173,card,insufficient_funds,WAIT,1
pay_000139_a4,2999,4,0.571,3,0,0.7193,0.1173,card,insufficient_funds,WAIT,0
pay_000140_a1,2999,1,0.556,4,0,0.7193,0.1173,card,bank_decline,WAIT,0
pay_000141_a2,2999,2,0.556,4,0,0.7193,0.1173,card,bank_decline,ESCALATE,0
pay_000142_a3,2999,3,0.556,4,0,0.7193,0.1173,card,bank_decline,WAIT,0
pay_000143_a1,2999,1,0.5,5,1,0.7193,0.1173,card,insufficient_funds,RETRY_NUDGE,0
pay_000144_a2,2999,2,0.5,5,1,0.7193,0.1173,card,insufficient_funds,WAIT,0
pay_000145_a1,2999,1,0.6,6,0,0.7193,0.1173,card,insufficient_funds,WAIT,0
pay_000146_a2,2999,2,0.6,6,0,0.7193,0.1173,card,insufficient_funds,RETRY,0
pay_000147_a3,2999,3,0.6,6,0,0.7193,0.1173,card,insufficient_funds,WAIT,0
pay_000148_a4,2999,4,0.6,6,0,0.7193,0.1173,card,insufficient_funds,RETRY,0
pay_000149_a1,2999,1,0.588,7,0,0.7193,0.1173,card,insufficient_funds,WAIT,0
pay_000150_a2,2999,2,0.588,7,0,0.7193,0.1173,card,insufficient_funds,ESCALATE,0
pay_000151_a3,2999,3,0.588,7,0,0.7193,0.1173,card,insufficient_funds,RETRY,0
pay_000152_a4,2999,4,0.588,7,0,0.7193,0.1173,card,insufficient_funds,WAIT,0
pay_000153_a1,9999,1,1.0,0,0,0.4789,0.3215,netbanking,insufficient_funds,WAIT,1
pay_000154_a2,9999,2,1.0,0,0,0.4789,0.3215,netbanking,insufficient_funds,RETRY_NUDGE,1
pay_000155_a3,9999,3,1.0,0,0,0.4789,0.3215,netbanking,insufficient_funds,RETRY,1
pay_000156_a4,9999,4,1.0,0,0,0.4789,0.3215,netbanking,insufficient_funds,RETRY,1
pay_000157_a1,2999,1,0.429,4,0,0.5595,0.2017,upi,bank_decline,RETRY_NUDGE,0
pay_000158_a1,2999,1,0.375,5,1,0.5595,0.2017,upi,network_error,RETRY_NUDGE,0
pay_000159_a2,2999,2,0.375,5,1,0.5595,0.2017,upi,network_error,RETRY_NUDGE,1
pay_000160_a1,2999,1,0.571,6,0,0.5595,0.2017,upi,insufficient_funds,WAIT,0
pay_000161_a1,2999,1,0.533,7,1,0.5595,0.2017,upi,temporary_bank_issue,ESCALATE,0
pay_000162_a2,2999,2,0.533,7,1,0.5595,0.2017,upi,temporary_bank_issue,ESCALATE,0
pay_000163_a3,2999,3,0.533,7,1,0.5595,0.2017,upi,temporary_bank_issue,RETRY_NUDGE,0
pay_000164_a4,2999,4,0.533,7,1,0.5595,0.2017,upi,temporary_bank_issue,RETRY,0
pay_000165_a1,2999,1,0.556,8,0,0.5595,0.2017,upi,temporary_bank_issue,RETRY,1
pay_000166_a2,2999,2,0.556,8,0,0.5595,0.2017,upi,temporary_bank_issue,RETRY,0
pay_000167_a1,499,1,0.933,1,0,0.3706,0.8815,upi,bank_decline,ESCALATE,1
pay_000168_a2,499,2,0.933,1,0,0.3706,0.8815,upi,bank_decline,RETRY_NUDGE,1
pay_000169_a1,1499,1,1.0,0,0,0.3993,0.5632,card,insufficient_funds,WAIT,1
pay_000170_a2,1499,2,1.0,0,0,0.3993,0.5632,card,insufficient_funds,RETRY,1
pay_000171_a1,999,1,0.545,5,0,0.8301,0.5391,card,insufficient_funds,WAIT,0
pay_000172_a1,999,1,0.571,6,0,0.8301,0.5391,card,insufficient_funds,RETRY,1
pay_000173_a1,999,1,0.533,7,1,0.8301,0.5391,card,insufficient_funds,RETRY,1
pay_000174_a2,999,2,0.533,7,1,0.8301,0.5391,card,insufficient_funds,WAIT,0
pay_000175_a1,999,1,0.5,8,2,0.8301,0.5391,card,expired_card,RETRY_NUDGE,1
pay_000176_a2,999,2,0.5,8,2,0.8301,0.5391,card,expired_card,RETRY_NUDGE,0
pay_000177_a3,999,3,0.5,8,2,0.8301,0.5391,card,expired_card,RETRY,0
pay_000178_a1,999,1,0.471,9,3,0.8301,0.5391,card,insufficient_funds,WAIT,0
pay_000179_a1,999,1,0.5,10,0,0.8301,0.5391,card,expired_card,RETRY,0
pay_000180_a2,999,2,0.5,10,0,0.8301,0.5391,card,expired_card,RETRY,0
pay_000181_a3,999,3,0.5,10,0,0.8301,0.5391,card,expired_card,RETRY,0
pay_000182_a1,499,1,0.889,1,0,0.3787,0.6218,card,network_error,WAIT,0
pay_000183_a2,499,2,0.889,1,0,0.3787,0.6218,card,network_error,WAIT,1
pay_000184_a1,499,1,0.8,2,1,0.3787,0.6218,card,authentication_failure,WAIT,1
pay_000185_a2,499,2,0.8,2,1,0.3787,0.6218,card,authentication_failure,ESCALATE,0
pay_000186_a3,499,3,0.8,2,1,0.3787,0.6218,card,authentication_failure,RETRY_NUDGE,0
pay_000187_a4,499,4,0.8,2,1,0.3787,0.6218,card,authentication_failure,RETRY_NUDGE,0
pay_000188_a1,1499,1,0.889,1,0,0.266,0.1393,upi,network_error,WAIT,1
pay_000189_a1,1499,1,0.818,2,0,0.266,0.1393,upi,network_error,RETRY_NUDGE,1
pay_000190_a1,1499,1,0.75,3,1,0.266,0.1393,upi,bank_decline,ESCALATE,1
pay_000191_a2,1499,2,0.75,3,1,0.266,0.1393,upi,bank_decline,ESCALATE,0
pay_000192_a3,1499,3,0.75,3,1,0.266,0.1393,upi,bank_decline,RETRY,0
pay_000193_a1,1499,1,0.714,4,0,0.266,0.1393,upi,bank_decline,WAIT,1
pay_000194_a2,1499,2,0.714,4,0,0.266,0.1393,upi,bank_decline,ESCALATE,1
pay_000195_a1,1499,1,0.667,5,1,0.266,0.1393,upi,insufficient_funds,ESCALATE,0
pay_000196_a1,1499,1,0.625,6,2,0.266,0.1393,upi,temporary_bank_issue,RETRY_NUDGE,1
pay_000197_a1,1499,1,0.632,7,0,0.266,0.1393,upi,expired_card,ESCALATE,1
pay_000198_a2,1499,2,0.632,7,0,0.266,0.1393,upi,expired_card,WAIT,0
pay_000199_a1,999,1,0.7,3,0,0.9384,0.5719,card,expired_card,RETRY_NUDGE,0
pay_000200_a2,999,2,0.7,3,0,0.9384,0.5719,card,expired_card,RETRY_NUDGE,0
pay_000201_a3,999,3,0.7,3,0,0.9384,0.5719,card,expired_card,WAIT,0
pay_000202_a4,999,4,0.7,3,0,0.9384,0.5719,card,expired_card,WAIT,0
pay_000203_a1,999,1,0.667,4,0,0.9384,0.5719,card,authentication_failure,RETRY_NUDGE,1
pay_000204_a1,4999,1,0.455,6,0,0.7493,0.5989,card,insufficient_funds,RETRY,0
pay_000205_a2,4999,2,0.455,6,0,0.7493,0.5989,card,insufficient_funds,RETRY_NUDGE,0
pay_000206_a3,4999,3,0.455,6,0,0.7493,0.5989,card,insufficient_funds,WAIT,0
pay_000207_a4,4999,4,0.455,6,0,0.7493,0.5989,card,insufficient_funds,RETRY,0
pay_000208_a1,4999,1,0.417,7,1,0.7493,0.5989,card,insufficient_funds,RETRY,1
pay_000209_a1,4999,1,0.385,8,2,0.7493,0.5989,card,expired_card,RETRY_NUDGE,1
pay_000210_a2,4999,2,0.385,8,2,0.7493,0.5989,card,expired_card,RETRY_NUDGE,0
pay_000211_a1,4999,1,0.357,9,3,0.7493,0.5989,card,bank_decline,RETRY,0
pay_000212_a2,4999,2,0.357,9,3,0.7493,0.5989,card,bank_decline,RETRY_NUDGE,0
pay_000213_a3,4999,3,0.357,9,3,0.7493,0.5989,card,bank_decline,RETRY,0
pay_000214_a4,4999,4,0.357,9,3,0.7493,0.5989,card,bank_decline,WAIT,0
pay_000215_a1,4999,1,0.333,10,4,0.7493,0.5989,card,bank_decline,RETRY_NUDGE,0
pay_000216_a1,4999,1,0.312,11,5,0.7493,0.5989,card,network_error,ESCALATE,0
pay_000217_a1,4999,1,0.294,12,6,0.7493,0.5989,card,authentication_failure,RETRY_NUDGE,0
pay_000218_a2,4999,2,0.294,12,6,0.7493,0.5989,card,authentication_failure,WAIT,0
pay_000219_a3,4999,3,0.294,12,6,0.7493,0.5989,card,authentication_failure,RETRY,0
pay_000220_a4,4999,4,0.294,12,6,0.7493,0.5989,card,authentication_failure,RETRY,0
pay_000221_a1,4999,1,0.278,13,7,0.7493,0.5989,card,insufficient_funds,RETRY,0
pay_000222_a2,4999,2,0.278,13,7,0.7493,0.5989,card,insufficient_funds,WAIT,0
pay_000223_a1,4999,1,0.263,14,8,0.7493,0.5989,card,network_error,ESCALATE,1
pay_000224_a2,4999,2,0.263,14,8,0.7493,0.5989,card,network_error,RETRY,0
pay_000225_a3,4999,3,0.263,14,8,0.7493,0.5989,card,network_error,WAIT,0
pay_000226_a4,4999,4,0.263,14,8,0.7493,0.5989,card,network_error,ESCALATE,0
pay_000227_a1,4999,1,0.25,15,9,0.7493,0.5989,card,insufficient_funds,WAIT,0
pay_000228_a1,4999,1,0.238,16,10,0.7493,0.5989,card,expired_card,WAIT,0
pay_000229_a2,4999,2,0.238,16,10,0.7493,0.5989,card,expired_card,RETRY,0
pay_000230_a1,4999,1,0.227,17,11,0.7493,0.5989,card,expired_card,ESCALATE,0
pay_000231_a2,4999,2,0.227,17,11,0.7493,0.5989,card,expired_card,RETRY_NUDGE,0
pay_000232_a1,799,1,0.273,8,0,0.0,0.9918,card,insufficient_funds,RETRY_NUDGE,0
pay_000233_a2,799,2,0.273,8,0,0.0,0.9918,card,insufficient_funds,RETRY,1
pay_000234_a3,799,3,0.273,8,0,0.0,0.9918,card,insufficient_funds,RETRY_NUDGE,0
pay_000235_a4,799,4,0.273,8,0,0.0,0.9918,card,insufficient_funds,ESCALATE,0
pay_000236_a1,799,1,0.25,9,1,0.0,0.9918,card,network_error,ESCALATE,0
pay_000237_a2,799,2,0.25,9,1,0.0,0.9918,card,network_error,ESCALATE,1
pay_000238_a3,799,3,0.25,9,1,0.0,0.9918,card,network_error,RETRY_NUDGE,0
pay_000239_a4,799,4,0.25,9,1,0.0,0.9918,card,network_error,WAIT,0
pay_000240_a1,799,1,0.333,10,0,0.0,0.9918,card,bank_decline,WAIT,0
pay_000241_a2,799,2,0.333,10,0,0.0,0.9918,card,bank_decline,RETRY,0
pay_000242_a1,799,1,0.312,11,1,0.0,0.9918,card,insufficient_funds,RETRY_NUDGE,0
pay_000243_a2,799,2,0.312,11,1,0.0,0.9918,card,insufficient_funds,WAIT,0
pay_000244_a1,799,1,0.294,12,2,0.0,0.9918,card,temporary_bank_issue,RETRY_NUDGE,0
pay_000245_a1,799,1,0.278,13,3,0.0,0.9918,card,bank_decline,ESCALATE,0
pay_000246_a2,799,2,0.278,13,3,0.0,0.9918,card,bank_decline,ESCALATE,0
pay_000247_a3,799,3,0.278,13,3,0.0,0.9918,card,bank_decline,RETRY,1
pay_000248_a4,799,4,0.278,13,3,0.0,0.9918,card,bank_decline,WAIT,0
pay_000249_a1,799,1,0.3,14,0,0.0,0.9918,card,insufficient_funds,ESCALATE,0
pay_000250_a2,799,2,0.3,14,0,0.0,0.9918,card,insufficient_funds,WAIT,0
pay_000251_a1,799,1,0.286,15,1,0.0,0.9918,card,bank_decline,RETRY_NUDGE,0
pay_000252_a2,799,2,0.286,15,1,0.0,0.9918,card,bank_decline,ESCALATE,0
pay_000253_a3,799,3,0.286,15,1,0.0,0.9918,card,bank_decline,ESCALATE,0
pay_000254_a4,799,4,0.286,15,1,0.0,0.9918,card,bank_decline,RETRY_NUDGE,0
pay_000255_a1,799,1,0.273,16,2,0.0,0.9918,card,insufficient_funds,RETRY,0
pay_000256_a1,499,1,1.0,0,0,0.3637,0.2856,wallet,bank_decline,WAIT,1
pay_000257_a2,499,2,1.0,0,0,0.3637,0.2856,wallet,bank_decline,RETRY_NUDGE,0
pay_000258_a3,499,3,1.0,0,0,0.3637,0.2856,wallet,bank_decline,RETRY,1
pay_000259_a4,499,4,1.0,0,0,0.3637,0.2856,wallet,bank_decline,RETRY,1
pay_000260_a1,2999,1,0.545,5,0,0.3486,0.2814,upi,insufficient_funds,RETRY,0
pay_000261_a2,2999,2,0.545,5,0,0.3486,0.2814,upi,insufficient_funds,WAIT,0
pay_000262_a3,2999,3,0.545,5,0,0.3486,0.2814,upi,insufficient_funds,WAIT,0
pay_000263_a1,2999,1,0.538,6,0,0.3486,0.2814,upi,expired_card,RETRY,0
pay_000264_a1,2999,1,0.5,7,1,0.3486,0.2814,upi,insufficient_funds,RETRY_NUDGE,0
pay_000265_a1,2999,1,0.5,8,0,0.3486,0.2814,upi,expired_card,RETRY,0
pay_000266_a2,2999,2,0.5,8,0,0.3486,0.2814,upi,expired_card,WAIT,0
pay_000267_a1,2999,1,0.526,9,0,0.3486,0.2814,upi,network_error,RETRY,1
pay_000268_a2,2999,2,0.526,9,0,0.3486,0.2814,upi,network_error,WAIT,1
pay_000269_a3,2999,3,0.526,9,0,0.3486,0.2814,upi,network_error,WAIT,0
pay_000270_a1,2999,1,0.5,10,1,0.3486,0.2814,upi,bank_decline,RETRY,0
pay_000271_a2,2999,2,0.5,10,1,0.3486,0.2814,upi,bank_decline,RETRY_NUDGE,0
pay_000272_a3,2999,3,0.5,10,1,0.3486,0.2814,upi,bank_decline,RETRY,0
pay_000273_a4,2999,4,0.5,10,1,0.3486,0.2814,upi,bank_decline,WAIT,0
pay_000274_a1,2999,1,0.476,11,2,0.3486,0.2814,upi,insufficient_funds,RETRY_NUDGE,0
pay_000275_a2,2999,2,0.476,11,2,0.3486,0.2814,upi,insufficient_funds,ESCALATE,0
pay_000276_a3,2999,3,0.476,11,2,0.3486,0.2814,upi,insufficient_funds,ESCALATE,0
pay_000277_a4,2999,4,0.476,11,2,0.3486,0.2814,upi,insufficient_funds,ESCALATE,0
pay_000278_a1,799,1,0.571,3,0,0.3,0.6456,card,temporary_bank_issue,WAIT,0
pay_000279_a2,799,2,0.571,3,0,0.3,0.6456,card,temporary_bank_issue,ESCALATE,0
pay_000280_a3,799,3,0.571,3,0,0.3,0.6456,card,temporary_bank_issue,WAIT,1
pay_000281_a1,799,1,0.556,4,0,0.3,0.6456,card,network_error,RETRY,0
