Population,Transition (Rule -> Causal),Payment Count,% of Total,Total Net Val Diff (INR),Total Recov Diff (INR),Total Cost Diff (INR),Mean Net Val Diff (INR),Mean Recov Diff (INR),Mean Cost Diff (INR),Mean Causal Uplift,Mean Rule Uplift
Seed 42 (In-Sample Fit Check),WAIT -> RETRY,1636,5.37,424991.95,433171.95,8180.0,259.78,264.78,5.0,+9.52 pp,+0.00 pp
Seed 42 (In-Sample Fit Check),WAIT -> RETRY_NUDGE,572,1.88,92412.21,100992.21,8580.0,161.56,176.56,15.0,+8.73 pp,+0.00 pp
Seed 42 (In-Sample Fit Check),ESCALATE -> WAIT,78,0.26,19115.22,-384.78,-19500.0,245.07,-4.93,-250.0,+0.00 pp,+0.28 pp
Seed 42 (In-Sample Fit Check),RETRY_NUDGE -> RETRY_NUDGE,7537,24.73,0.0,0.0,0.0,0.0,0.0,0.0,+18.53 pp,+18.53 pp
Seed 42 (In-Sample Fit Check),RETRY -> RETRY,11121,36.5,0.0,0.0,0.0,0.0,0.0,0.0,+15.83 pp,+15.83 pp
Seed 42 (In-Sample Fit Check),WAIT -> WAIT,310,1.02,0.0,0.0,0.0,0.0,0.0,0.0,+0.00 pp,+0.00 pp
Seed 42 (In-Sample Fit Check),RETRY_NUDGE -> WAIT,135,0.44,-687.14,-2712.14,-2025.0,-5.09,-20.09,-15.0,+0.00 pp,+1.53 pp
Seed 42 (In-Sample Fit Check),RETRY -> RETRY_NUDGE,60,0.2,-2270.79,-1670.79,600.0,-37.85,-27.85,10.0,+12.22 pp,+13.94 pp
Seed 42 (In-Sample Fit Check),WAIT -> ESCALATE,13,0.04,-6379.18,-3129.18,3250.0,-490.71,-240.71,250.0,-2.48 pp,+0.00 pp
Seed 42 (In-Sample Fit Check),RETRY -> WAIT,92,0.3,-10744.47,-11204.47,-460.0,-116.79,-121.79,-5.0,+0.00 pp,+8.87 pp
Seed 42 (In-Sample Fit Check),RETRY_NUDGE -> RETRY,3150,10.34,-14794.34,-46294.34,-31500.0,-4.7,-14.7,-10.0,+10.62 pp,+10.05 pp
