payment_id,policy_name,chosen_action,amount,p_success_for_chosen_action,action_cost,expected_recovery,expected_net_value
pay_000107_a2,WaitPolicy,WAIT,499,0.01,0.0,4.99,4.99
pay_000108_a3,WaitPolicy,WAIT,499,0.01,0.0,4.99,4.99
pay_000109_a4,WaitPolicy,WAIT,499,0.01,0.0,4.99,4.99
pay_000110_a1,WaitPolicy,WAIT,4999,0.1444,0.0,721.8556,721.8556
pay_000111_a2,WaitPolicy,WAIT,4999,0.126,0.0,629.874,629.874
pay_000112_a1,WaitPolicy,WAIT,4999,0.149,0.0,744.851,744.851
pay_000113_a1,WaitPolicy,WAIT,4999,0.1726,0.0,862.8274,862.8274
pay_000114_a2,WaitPolicy,WAIT,4999,0.1024,0.0,511.8976,511.8976
pay_000115_a1,WaitPolicy,WAIT,4999,0.0402,0.0,200.9598,200.9598
pay_000116_a1,WaitPolicy,WAIT,4999,0.1965,0.0,982.3035,982.3035
pay_000117_a2,WaitPolicy,WAIT,4999,0.1239,0.0,619.3761,619.3761
pay_000118_a1,WaitPolicy,WAIT,4999,0.01,0.0,49.99,49.99
pay_000119_a1,WaitPolicy,WAIT,4999,0.1264,0.0,631.8736,631.8736
pay_000120_a1,WaitPolicy,WAIT,4999,0.01,0.0,49.99,49.99
pay_000121_a1,WaitPolicy,WAIT,4999,0.0841,0.0,420.4159,420.4159
pay_000122_a2,WaitPolicy,WAIT,4999,0.0158,0.0,78.9842,78.9842
pay_000123_a3,WaitPolicy,WAIT,4999,0.01,0.0,49.99,49.99
pay_000124_a4,WaitPolicy,WAIT,4999,0.01,0.0,49.99,49.99
pay_000125_a1,WaitPolicy,WAIT,4999,0.0539,0.0,269.4461,269.4461
pay_000126_a2,WaitPolicy,WAIT,4999,0.0513,0.0,256.4487,256.4487
pay_000127_a3,WaitPolicy,WAIT,4999,0.01,0.0,49.99,49.99
pay_000128_a1,WaitPolicy,WAIT,4999,0.01,0.0,49.99,49.99
pay_000129_a2,WaitPolicy,WAIT,4999,0.01,0.0,49.99,49.99
pay_000130_a3,WaitPolicy,WAIT,4999,0.01,0.0,49.99,49.99
pay_000131_a4,WaitPolicy,WAIT,4999,0.01,0.0,49.99,49.99
pay_000132_a1,WaitPolicy,WAIT,2999,0.9394,0.0,2817.2606,2817.2606
pay_000133_a2,WaitPolicy,WAIT,2999,0.8907,0.0,2671.2093,2671.2093
pay_000134_a3,WaitPolicy,WAIT,2999,0.8314,0.0,2493.3686,2493.3686
pay_000135_a4,WaitPolicy,WAIT,2999,0.7567,0.0,2269.3433,2269.3433
pay_000136_a1,WaitPolicy,WAIT,2999,0.7346,0.0,2203.0654,2203.0654
pay_000137_a1,WaitPolicy,WAIT,1499,0.236,0.0,353.764,353.764
pay_000138_a2,WaitPolicy,WAIT,1499,0.1521,0.0,227.9979,227.9979
pay_000139_a3,WaitPolicy,WAIT,1499,0.1396,0.0,209.2604,209.2604
pay_000140_a1,WaitPolicy,WAIT,1499,0.1759,0.0,263.6741,263.6741
pay_000141_a2,WaitPolicy,WAIT,1499,0.1461,0.0,219.0039,219.0039
pay_000142_a1,WaitPolicy,WAIT,1499,0.1282,0.0,192.1718,192.1718
pay_000143_a1,WaitPolicy,WAIT,1499,0.2686,0.0,402.6314,402.6314
pay_000144_a1,WaitPolicy,WAIT,499,0.9721,0.0,485.0779,485.0779
pay_000145_a2,WaitPolicy,WAIT,499,0.9019,0.0,450.0481,450.0481
pay_000146_a1,WaitPolicy,WAIT,499,0.8226,0.0,410.4774,410.4774
pay_000147_a1,WaitPolicy,WAIT,1999,0.3906,0.0,780.8094,780.8094
pay_000148_a2,WaitPolicy,WAIT,1999,0.3555,0.0,710.6445,710.6445
pay_000149_a1,WaitPolicy,WAIT,1999,0.2378,0.0,475.3622,475.3622
pay_000150_a2,WaitPolicy,WAIT,1999,0.1689,0.0,337.6311,337.6311
pay_000151_a3,WaitPolicy,WAIT,1999,0.0503,0.0,100.5497,100.5497
pay_000152_a4,WaitPolicy,WAIT,1999,0.01,0.0,19.99,19.99
pay_000153_a1,WaitPolicy,WAIT,1999,0.1248,0.0,249.4752,249.4752
pay_000154_a1,WaitPolicy,WAIT,1999,0.1144,0.0,228.6856,228.6856
pay_000155_a2,WaitPolicy,WAIT,1999,0.0426,0.0,85.1574,85.1574
pay_000156_a1,WaitPolicy,WAIT,1999,0.1491,0.0,298.0509,298.0509
pay_000157_a2,WaitPolicy,WAIT,1999,0.0807,0.0,161.3193,161.3193
pay_000158_a3,WaitPolicy,WAIT,1999,0.01,0.0,19.99,19.99
pay_000159_a1,WaitPolicy,WAIT,1999,0.0494,0.0,98.7506,98.7506
pay_000160_a2,WaitPolicy,WAIT,1999,0.01,0.0,19.99,19.99
pay_000161_a3,WaitPolicy,WAIT,1999,0.01,0.0,19.99,19.99
pay_000162_a4,WaitPolicy,WAIT,1999,0.01,0.0,19.99,19.99
pay_000163_a1,WaitPolicy,WAIT,1999,0.0746,0.0,149.1254,149.1254
pay_000164_a2,WaitPolicy,WAIT,1999,0.01,0.0,19.99,19.99
pay_000165_a3,WaitPolicy,WAIT,1999,0.01,0.0,19.99,19.99
pay_000166_a1,WaitPolicy,WAIT,1999,0.1837,0.0,367.2163,367.2163
pay_000167_a1,WaitPolicy,WAIT,1999,0.1392,0.0,278.2608,278.2608
pay_000168_a2,WaitPolicy,WAIT,1999,0.1083,0.0,216.4917,216.4917
pay_000169_a3,WaitPolicy,WAIT,1999,0.0156,0.0,31.1844,31.1844
pay_000170_a4,WaitPolicy,WAIT,1999,0.01,0.0,19.99,19.99
pay_000171_a1,WaitPolicy,WAIT,999,0.3111,0.0,310.7889,310.7889
pay_000172_a1,WaitPolicy,WAIT,999,0.4462,0.0,445.7538,445.7538
pay_000173_a1,WaitPolicy,WAIT,999,0.4031,0.0,402.6969,402.6969
pay_000174_a1,WaitPolicy,WAIT,999,0.3808,0.0,380.4192,380.4192
pay_000175_a2,WaitPolicy,WAIT,999,0.3015,0.0,301.1985,301.1985
pay_000176_a1,WaitPolicy,WAIT,999,0.201,0.0,200.799,200.799
pay_000177_a1,WaitPolicy,WAIT,999,0.1575,0.0,157.3425,157.3425
pay_000178_a1,WaitPolicy,WAIT,999,0.3946,0.0,394.2054,394.2054
pay_000179_a2,WaitPolicy,WAIT,999,0.3686,0.0,368.2314,368.2314
pay_000180_a1,WaitPolicy,WAIT,999,0.3771,0.0,376.7229,376.7229
pay_000181_a1,WaitPolicy,WAIT,999,0.4966,0.0,496.1034,496.1034
pay_000182_a2,WaitPolicy,WAIT,999,0.456,0.0,455.544,455.544
pay_000183_a3,WaitPolicy,WAIT,999,0.4203,0.0,419.8797,419.8797
pay_000184_a4,WaitPolicy,WAIT,999,0.2974,0.0,297.1026,297.1026
pay_000185_a1,WaitPolicy,WAIT,799,0.01,0.0,7.99,7.99
pay_000186_a2,WaitPolicy,WAIT,799,0.01,0.0,7.99,7.99
pay_000187_a1,WaitPolicy,WAIT,799,0.0225,0.0,17.9775,17.9775
pay_000188_a2,WaitPolicy,WAIT,799,0.01,0.0,7.99,7.99
pay_000189_a3,WaitPolicy,WAIT,799,0.01,0.0,7.99,7.99
pay_000190_a4,WaitPolicy,WAIT,799,0.01,0.0,7.99,7.99
pay_000191_a1,WaitPolicy,WAIT,799,0.01,0.0,7.99,7.99
pay_000192_a2,WaitPolicy,WAIT,799,0.01,0.0,7.99,7.99
pay_000193_a3,WaitPolicy,WAIT,799,0.01,0.0,7.99,7.99
pay_000194_a4,WaitPolicy,WAIT,799,0.01,0.0,7.99,7.99
pay_000195_a1,WaitPolicy,WAIT,799,0.01,0.0,7.99,7.99
pay_000196_a2,WaitPolicy,WAIT,799,0.01,0.0,7.99,7.99
pay_000197_a1,WaitPolicy,WAIT,799,0.01,0.0,7.99,7.99
pay_000198_a2,WaitPolicy,WAIT,799,0.01,0.0,7.99,7.99
pay_000199_a3,WaitPolicy,WAIT,799,0.01,0.0,7.99,7.99
pay_000200_a1,WaitPolicy,WAIT,799,0.01,0.0,7.99,7.99
pay_000201_a2,WaitPolicy,WAIT,799,0.01,0.0,7.99,7.99
pay_000202_a3,WaitPolicy,WAIT,799,0.01,0.0,7.99,7.99
pay_000203_a1,WaitPolicy,WAIT,799,0.01,0.0,7.99,7.99
pay_000204_a2,WaitPolicy,WAIT,799,0.01,0.0,7.99,7.99
pay_000205_a3,WaitPolicy,WAIT,799,0.01,0.0,7.99,7.99
pay_000206_a4,WaitPolicy,WAIT,799,0.01,0.0,7.99,7.99
pay_000207_a1,WaitPolicy,WAIT,799,0.01,0.0,7.99,7.99
pay_000208_a1,WaitPolicy,WAIT,799,0.01,0.0,7.99,7.99
pay_000209_a2,WaitPolicy,WAIT,799,0.01,0.0,7.99,7.99
pay_000210_a3,WaitPolicy,WAIT,799,0.01,0.0,7.99,7.99
pay_000211_a1,WaitPolicy,WAIT,799,0.01,0.0,7.99,7.99
pay_000212_a2,WaitPolicy,WAIT,799,0.01,0.0,7.99,7.99
pay_000213_a1,WaitPolicy,WAIT,499,0.7338,0.0,366.1662,366.1662
pay_000214_a2,WaitPolicy,WAIT,499,0.7368,0.0,367.6632,367.6632
pay_000215_a3,WaitPolicy,WAIT,499,0.6589,0.0,328.7911,328.7911
pay_000216_a1,WaitPolicy,WAIT,499,0.7107,0.0,354.6393,354.6393
pay_000217_a1,WaitPolicy,WAIT,1999,0.6549,0.0,1309.1451,1309.1451
pay_000218_a2,WaitPolicy,WAIT,1999,0.5907,0.0,1180.8093,1180.8093
pay_000219_a1,WaitPolicy,WAIT,1999,0.5872,0.0,1173.8128,1173.8128
pay_000220_a1,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000221_a2,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000222_a3,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000223_a4,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000224_a1,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000225_a1,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000226_a2,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000227_a3,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000228_a4,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000229_a1,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000230_a1,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000231_a2,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000232_a1,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000233_a1,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000234_a2,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000235_a3,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000236_a1,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000237_a1,WaitPolicy,WAIT,1499,0.2246,0.0,336.6754,336.6754
pay_000238_a1,WaitPolicy,WAIT,1499,0.0753,0.0,112.8747,112.8747
pay_000239_a2,WaitPolicy,WAIT,1499,0.01,0.0,14.99,14.99
pay_000240_a3,WaitPolicy,WAIT,1499,0.01,0.0,14.99,14.99
pay_000241_a4,WaitPolicy,WAIT,1499,0.01,0.0,14.99,14.99
pay_000242_a1,WaitPolicy,WAIT,1499,0.1752,0.0,262.6248,262.6248
pay_000243_a1,WaitPolicy,WAIT,1499,0.1015,0.0,152.1485,152.1485
pay_000244_a1,WaitPolicy,WAIT,1499,0.01,0.0,14.99,14.99
pay_000245_a1,WaitPolicy,WAIT,1499,0.01,0.0,14.99,14.99
pay_000246_a2,WaitPolicy,WAIT,1499,0.01,0.0,14.99,14.99
pay_000247_a3,WaitPolicy,WAIT,1499,0.01,0.0,14.99,14.99
pay_000248_a4,WaitPolicy,WAIT,1499,0.01,0.0,14.99,14.99
pay_000249_a1,WaitPolicy,WAIT,1499,0.01,0.0,14.99,14.99
pay_000250_a2,WaitPolicy,WAIT,1499,0.01,0.0,14.99,14.99
pay_000251_a3,WaitPolicy,WAIT,1499,0.01,0.0,14.99,14.99
pay_000252_a4,WaitPolicy,WAIT,1499,0.01,0.0,14.99,14.99
pay_000253_a1,WaitPolicy,WAIT,2999,0.3772,0.0,1131.2228,1131.2228
pay_000254_a1,WaitPolicy,WAIT,2999,0.4152,0.0,1245.1848,1245.1848
pay_000255_a2,WaitPolicy,WAIT,2999,0.4071,0.0,1220.8929,1220.8929
pay_000256_a1,WaitPolicy,WAIT,2999,0.231,0.0,692.769,692.769
pay_000257_a1,WaitPolicy,WAIT,2999,0.2222,0.0,666.3778,666.3778
pay_000258_a2,WaitPolicy,WAIT,2999,0.1922,0.0,576.4078,576.4078
pay_000259_a3,WaitPolicy,WAIT,2999,0.112,0.0,335.888,335.888
pay_000260_a4,WaitPolicy,WAIT,2999,0.0723,0.0,216.8277,216.8277
pay_000261_a1,WaitPolicy,WAIT,2999,0.1708,0.0,512.2292,512.2292
pay_000262_a1,WaitPolicy,WAIT,2999,0.2942,0.0,882.3058,882.3058
pay_000263_a2,WaitPolicy,WAIT,2999,0.2768,0.0,830.1232,830.1232
pay_000264_a3,WaitPolicy,WAIT,2999,0.1661,0.0,498.1339,498.1339
pay_000265_a4,WaitPolicy,WAIT,2999,0.1253,0.0,375.7747,375.7747
pay_000266_a1,WaitPolicy,WAIT,999,0.1111,0.0,110.9889,110.9889
pay_000267_a2,WaitPolicy,WAIT,999,0.0455,0.0,45.4545,45.4545
pay_000268_a3,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000269_a4,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000270_a1,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000271_a2,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000272_a3,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000273_a4,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000274_a1,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000275_a2,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000276_a3,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000277_a1,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000278_a1,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000279_a2,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000280_a3,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000281_a4,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000282_a1,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000283_a1,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000284_a1,WaitPolicy,WAIT,999,0.1138,0.0,113.6862,113.6862
pay_000285_a1,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000286_a2,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000287_a1,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000288_a2,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000289_a3,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000290_a4,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000291_a1,WaitPolicy,WAIT,999,0.0251,0.0,25.0749,25.0749
pay_000292_a1,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000293_a2,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000294_a1,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000295_a2,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000296_a3,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000297_a1,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000298_a1,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000299_a2,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000300_a3,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000301_a1,WaitPolicy,WAIT,999,0.3154,0.0,315.0846,315.0846
pay_000302_a2,WaitPolicy,WAIT,999,0.2163,0.0,216.0837,216.0837
pay_000303_a3,WaitPolicy,WAIT,999,0.2302,0.0,229.9698,229.9698
pay_000304_a4,WaitPolicy,WAIT,999,0.1004,0.0,100.2996,100.2996
pay_000305_a1,WaitPolicy,WAIT,999,0.1213,0.0,121.1787,121.1787
pay_000306_a2,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000307_a1,WaitPolicy,WAIT,999,0.1894,0.0,189.2106,189.2106
pay_000308_a2,WaitPolicy,WAIT,999,0.0661,0.0,66.0339,66.0339
pay_000309_a1,WaitPolicy,WAIT,999,0.1053,0.0,105.1947,105.1947
pay_000310_a1,WaitPolicy,WAIT,1499,0.8131,0.0,1218.8369,1218.8369
pay_000311_a1,WaitPolicy,WAIT,1499,0.6655,0.0,997.5845,997.5845
pay_000312_a2,WaitPolicy,WAIT,1499,0.6027,0.0,903.4473,903.4473
pay_000313_a1,WaitPolicy,WAIT,1499,0.1887,0.0,282.8613,282.8613
pay_000314_a1,WaitPolicy,WAIT,1499,0.3723,0.0,558.0777,558.0777
pay_000315_a1,WaitPolicy,WAIT,1499,0.0874,0.0,131.0126,131.0126
pay_000316_a2,WaitPolicy,WAIT,1499,0.0321,0.0,48.1179,48.1179
pay_000317_a3,WaitPolicy,WAIT,1499,0.01,0.0,14.99,14.99
pay_000318_a4,WaitPolicy,WAIT,1499,0.01,0.0,14.99,14.99
pay_000319_a1,WaitPolicy,WAIT,1499,0.1208,0.0,181.0792,181.0792
pay_000320_a2,WaitPolicy,WAIT,1499,0.0314,0.0,47.0686,47.0686
pay_000321_a1,WaitPolicy,WAIT,1499,0.1266,0.0,189.7734,189.7734
pay_000322_a2,WaitPolicy,WAIT,1499,0.0275,0.0,41.2225,41.2225
pay_000323_a3,WaitPolicy,WAIT,1499,0.01,0.0,14.99,14.99
pay_000324_a1,WaitPolicy,WAIT,1499,0.221,0.0,331.279,331.279
pay_000325_a1,WaitPolicy,WAIT,1499,0.0101,0.0,15.1399,15.1399
pay_000326_a2,WaitPolicy,WAIT,1499,0.01,0.0,14.99,14.99
pay_000327_a1,WaitPolicy,WAIT,1499,0.0477,0.0,71.5023,71.5023
pay_000328_a1,WaitPolicy,WAIT,1499,0.01,0.0,14.99,14.99
pay_000329_a2,WaitPolicy,WAIT,1499,0.01,0.0,14.99,14.99
pay_000330_a3,WaitPolicy,WAIT,1499,0.01,0.0,14.99,14.99
pay_000331_a1,WaitPolicy,WAIT,1499,0.0236,0.0,35.3764,35.3764
