payment_id,policy_name,chosen_action
pay_000198_a2,WaitPolicy,WAIT
pay_000199_a1,WaitPolicy,WAIT
pay_000200_a2,WaitPolicy,WAIT
pay_000201_a3,WaitPolicy,WAIT
pay_000202_a4,WaitPolicy,WAIT
pay_000203_a1,WaitPolicy,WAIT
pay_000204_a1,WaitPolicy,WAIT
pay_000205_a2,WaitPolicy,WAIT
pay_000206_a3,WaitPolicy,WAIT
pay_000207_a4,WaitPolicy,WAIT
pay_000208_a1,WaitPolicy,WAIT
pay_000209_a1,WaitPolicy,WAIT
pay_000210_a2,WaitPolicy,WAIT
pay_000211_a1,WaitPolicy,WAIT
pay_000212_a2,WaitPolicy,WAIT
pay_000213_a3,WaitPolicy,WAIT
pay_000214_a4,WaitPolicy,WAIT
pay_000215_a1,WaitPolicy,WAIT
pay_000216_a1,WaitPolicy,WAIT
pay_000217_a1,WaitPolicy,WAIT
pay_000218_a2,WaitPolicy,WAIT
pay_000219_a3,WaitPolicy,WAIT
pay_000220_a4,WaitPolicy,WAIT
pay_000221_a1,WaitPolicy,WAIT
pay_000222_a2,WaitPolicy,WAIT
pay_000223_a1,WaitPolicy,WAIT
pay_000224_a2,WaitPolicy,WAIT
pay_000225_a3,WaitPolicy,WAIT
pay_000226_a4,WaitPolicy,WAIT
pay_000227_a1,WaitPolicy,WAIT
pay_000228_a1,WaitPolicy,WAIT
pay_000229_a2,WaitPolicy,WAIT
pay_000230_a1,WaitPolicy,WAIT
pay_000231_a2,WaitPolicy,WAIT
pay_000232_a1,WaitPolicy,WAIT
pay_000233_a2,WaitPolicy,WAIT
pay_000234_a3,WaitPolicy,WAIT
pay_000235_a4,WaitPolicy,WAIT
pay_000236_a1,WaitPolicy,WAIT
pay_000237_a2,WaitPolicy,WAIT
pay_000238_a3,WaitPolicy,WAIT
pay_000239_a4,WaitPolicy,WAIT
pay_000240_a1,WaitPolicy,WAIT
pay_000241_a2,WaitPolicy,WAIT
pay_000242_a1,WaitPolicy,WAIT
pay_000243_a2,WaitPolicy,WAIT
pay_000244_a1,WaitPolicy,WAIT
pay_000245_a1,WaitPolicy,WAIT
pay_000246_a2,WaitPolicy,WAIT
pay_000247_a3,WaitPolicy,WAIT
pay_000248_a4,WaitPolicy,WAIT
pay_000249_a1,WaitPolicy,WAIT
pay_000250_a2,WaitPolicy,WAIT
pay_000251_a1,WaitPolicy,WAIT
pay_000252_a2,WaitPolicy,WAIT
pay_000253_a3,WaitPolicy,WAIT
pay_000254_a4,WaitPolicy,WAIT
pay_000255_a1,WaitPolicy,WAIT
pay_000256_a1,WaitPolicy,WAIT
pay_000257_a2,WaitPolicy,WAIT
pay_000258_a3,WaitPolicy,WAIT
pay_000259_a4,WaitPolicy,WAIT
pay_000260_a1,WaitPolicy,WAIT
pay_000261_a2,WaitPolicy,WAIT
pay_000262_a3,WaitPolicy,WAIT
pay_000263_a1,WaitPolicy,WAIT
pay_000264_a1,WaitPolicy,WAIT
pay_000265_a1,WaitPolicy,WAIT
pay_000266_a2,WaitPolicy,WAIT
pay_000267_a1,WaitPolicy,WAIT
pay_000268_a2,WaitPolicy,WAIT
pay_000269_a3,WaitPolicy,WAIT
pay_000270_a1,WaitPolicy,WAIT
pay_000271_a2,WaitPolicy,WAIT
pay_000272_a3,WaitPolicy,WAIT
pay_000273_a4,WaitPolicy,WAIT
pay_000274_a1,WaitPolicy,WAIT
pay_000275_a2,WaitPolicy,WAIT
pay_000276_a3,WaitPolicy,WAIT
pay_000277_a4,WaitPolicy,WAIT
pay_000278_a1,WaitPolicy,WAIT
pay_000279_a2,WaitPolicy,WAIT
pay_000280_a3,WaitPolicy,WAIT
pay_000281_a1,WaitPolicy,WAIT
pay_000282_a2,WaitPolicy,WAIT
pay_000283_a3,WaitPolicy,WAIT
pay_000284_a1,WaitPolicy,WAIT
pay_000285_a2,WaitPolicy,WAIT
pay_000286_a1,WaitPolicy,WAIT
pay_000287_a2,WaitPolicy,WAIT
pay_000288_a3,WaitPolicy,WAIT
pay_000289_a4,WaitPolicy,WAIT
pay_000290_a1,WaitPolicy,WAIT
pay_000291_a2,WaitPolicy,WAIT
pay_000292_a1,WaitPolicy,WAIT
pay_000293_a2,WaitPolicy,WAIT
pay_000294_a3,WaitPolicy,WAIT
pay_000295_a1,WaitPolicy,WAIT
pay_000296_a2,WaitPolicy,WAIT
pay_000297_a1,WaitPolicy,WAIT
pay_000298_a1,WaitPolicy,WAIT
pay_000299_a2,WaitPolicy,WAIT
pay_000300_a3,WaitPolicy,WAIT
pay_000301_a1,WaitPolicy,WAIT
pay_000302_a1,WaitPolicy,WAIT
pay_000303_a2,WaitPolicy,WAIT
pay_000304_a1,WaitPolicy,WAIT
pay_000305_a2,WaitPolicy,WAIT
pay_000306_a3,WaitPolicy,WAIT
pay_000307_a4,WaitPolicy,WAIT
pay_000308_a1,WaitPolicy,WAIT
pay_000309_a2,WaitPolicy,WAIT
pay_000310_a1,WaitPolicy,WAIT
pay_000311_a2,WaitPolicy,WAIT
pay_000312_a1,WaitPolicy,WAIT
pay_000313_a2,WaitPolicy,WAIT
pay_000314_a1,WaitPolicy,WAIT
pay_000315_a2,WaitPolicy,WAIT
pay_000316_a3,WaitPolicy,WAIT
pay_000317_a4,WaitPolicy,WAIT
pay_000318_a1,WaitPolicy,WAIT
pay_000319_a2,WaitPolicy,WAIT
pay_000320_a3,WaitPolicy,WAIT
pay_000321_a4,WaitPolicy,WAIT
pay_000322_a1,WaitPolicy,WAIT
pay_000323_a2,WaitPolicy,WAIT
pay_000324_a3,WaitPolicy,WAIT
pay_000325_a4,WaitPolicy,WAIT
pay_000326_a1,WaitPolicy,WAIT
pay_000327_a1,WaitPolicy,WAIT
pay_000328_a1,WaitPolicy,WAIT
pay_000329_a2,WaitPolicy,WAIT
pay_000330_a1,WaitPolicy,WAIT
pay_000331_a1,WaitPolicy,WAIT
pay_000332_a1,WaitPolicy,WAIT
pay_000333_a1,WaitPolicy,WAIT
pay_000334_a2,WaitPolicy,WAIT
pay_000335_a1,WaitPolicy,WAIT
pay_000336_a1,WaitPolicy,WAIT
pay_000337_a2,WaitPolicy,WAIT
pay_000338_a3,WaitPolicy,WAIT
pay_000339_a4,WaitPolicy,WAIT
pay_000340_a1,WaitPolicy,WAIT
pay_000341_a1,WaitPolicy,WAIT
pay_000342_a1,WaitPolicy,WAIT
pay_000343_a2,WaitPolicy,WAIT
pay_000344_a1,WaitPolicy,WAIT
pay_000345_a1,WaitPolicy,WAIT
pay_000346_a2,WaitPolicy,WAIT
pay_000347_a3,WaitPolicy,WAIT
pay_000348_a4,WaitPolicy,WAIT
pay_000349_a1,WaitPolicy,WAIT
pay_000350_a2,WaitPolicy,WAIT
pay_000351_a3,WaitPolicy,WAIT
pay_000352_a1,WaitPolicy,WAIT
pay_000353_a2,WaitPolicy,WAIT
pay_000354_a3,WaitPolicy,WAIT
pay_000355_a4,WaitPolicy,WAIT
pay_000356_a1,WaitPolicy,WAIT
pay_000357_a2,WaitPolicy,WAIT
pay_000358_a1,WaitPolicy,WAIT
pay_000359_a2,WaitPolicy,WAIT
pay_000360_a3,WaitPolicy,WAIT
pay_000361_a1,WaitPolicy,WAIT
pay_000362_a2,WaitPolicy,WAIT
pay_000363_a3,WaitPolicy,WAIT
pay_000364_a4,WaitPolicy,WAIT
pay_000365_a1,WaitPolicy,WAIT
pay_000366_a1,WaitPolicy,WAIT
pay_000367_a1,WaitPolicy,WAIT
pay_000368_a2,WaitPolicy,WAIT
pay_000369_a1,WaitPolicy,WAIT
pay_000370_a1,WaitPolicy,WAIT
pay_000371_a2,WaitPolicy,WAIT
pay_000372_a3,WaitPolicy,WAIT
pay_000373_a1,WaitPolicy,WAIT
pay_000374_a2,WaitPolicy,WAIT
pay_000375_a3,WaitPolicy,WAIT
pay_000376_a1,WaitPolicy,WAIT
pay_000377_a2,WaitPolicy,WAIT
pay_000378_a3,WaitPolicy,WAIT
pay_000379_a4,WaitPolicy,WAIT
pay_000380_a1,WaitPolicy,WAIT
pay_000381_a2,WaitPolicy,WAIT
pay_000382_a1,WaitPolicy,WAIT
pay_000383_a2,WaitPolicy,WAIT
pay_000384_a1,WaitPolicy,WAIT
pay_000385_a2,WaitPolicy,WAIT
pay_000386_a1,WaitPolicy,WAIT
pay_000387_a1,WaitPolicy,WAIT
pay_000388_a2,WaitPolicy,WAIT
pay_000389_a3,WaitPolicy,WAIT
pay_000390_a4,WaitPolicy,WAIT
pay_000391_a1,WaitPolicy,WAIT
pay_000392_a1,WaitPolicy,WAIT
pay_000393_a2,WaitPolicy,WAIT
pay_000394_a1,WaitPolicy,WAIT
pay_000395_a2,WaitPolicy,WAIT
pay_000396_a3,WaitPolicy,WAIT
pay_000397_a4,WaitPolicy,WAIT
pay_000398_a1,WaitPolicy,WAIT
pay_000399_a2,WaitPolicy,WAIT
pay_000400_a3,WaitPolicy,WAIT
pay_000401_a4,WaitPolicy,WAIT
pay_000402_a1,WaitPolicy,WAIT
pay_000403_a2,WaitPolicy,WAIT
pay_000404_a3,WaitPolicy,WAIT
pay_000405_a1,WaitPolicy,WAIT
pay_000406_a2,WaitPolicy,WAIT
pay_000407_a1,WaitPolicy,WAIT
pay_000408_a1,WaitPolicy,WAIT
pay_000409_a1,WaitPolicy,WAIT
pay_000410_a1,WaitPolicy,WAIT
pay_000411_a1,WaitPolicy,WAIT
pay_000412_a2,WaitPolicy,WAIT
pay_000413_a3,WaitPolicy,WAIT
pay_000414_a1,WaitPolicy,WAIT
pay_000415_a1,WaitPolicy,WAIT
pay_000416_a1,WaitPolicy,WAIT
pay_000417_a1,WaitPolicy,WAIT
pay_000418_a2,WaitPolicy,WAIT
pay_000419_a3,WaitPolicy,WAIT
pay_000420_a4,WaitPolicy,WAIT
pay_000421_a1,WaitPolicy,WAIT
pay_000422_a1,WaitPolicy,WAIT
pay_000423_a1,WaitPolicy,WAIT
pay_000424_a2,WaitPolicy,WAIT
pay_000425_a3,WaitPolicy,WAIT
pay_000426_a4,WaitPolicy,WAIT
pay_000427_a1,WaitPolicy,WAIT
pay_000428_a2,WaitPolicy,WAIT
pay_000429_a3,WaitPolicy,WAIT
pay_000430_a4,WaitPolicy,WAIT
pay_000431_a1,WaitPolicy,WAIT
pay_000432_a2,WaitPolicy,WAIT
pay_000433_a3,WaitPolicy,WAIT
pay_000434_a4,WaitPolicy,WAIT
pay_000435_a1,WaitPolicy,WAIT
pay_000436_a2,WaitPolicy,WAIT
pay_000437_a3,WaitPolicy,WAIT
pay_000438_a4,WaitPolicy,WAIT
pay_000439_a1,WaitPolicy,WAIT
pay_000440_a1,WaitPolicy,WAIT
pay_000441_a2,WaitPolicy,WAIT
pay_000442_a1,WaitPolicy,WAIT
pay_000443_a1,WaitPolicy,WAIT
pay_000444_a2,WaitPolicy,WAIT
pay_000445_a1,WaitPolicy,WAIT
pay_000446_a2,WaitPolicy,WAIT
pay_000447_a3,WaitPolicy,WAIT
pay_000448_a4,WaitPolicy,WAIT
pay_000449_a1,WaitPolicy,WAIT
pay_000450_a2,WaitPolicy,WAIT
pay_000451_a3,WaitPolicy,WAIT
pay_000452_a1,WaitPolicy,WAIT
pay_000453_a2,WaitPolicy,WAIT
pay_000454_a3,WaitPolicy,WAIT
pay_000455_a1,WaitPolicy,WAIT
pay_000456_a2,WaitPolicy,WAIT
pay_000457_a3,WaitPolicy,WAIT
pay_000458_a1,WaitPolicy,WAIT
pay_000459_a2,WaitPolicy,WAIT
pay_000460_a3,WaitPolicy,WAIT
pay_000461_a4,WaitPolicy,WAIT
pay_000462_a1,WaitPolicy,WAIT
pay_000463_a2,WaitPolicy,WAIT
pay_000464_a3,WaitPolicy,WAIT
pay_000465_a4,WaitPolicy,WAIT
pay_000466_a1,WaitPolicy,WAIT
pay_000467_a1,WaitPolicy,WAIT
pay_000468_a2,WaitPolicy,WAIT
pay_000469_a3,WaitPolicy,WAIT
pay_000470_a1,WaitPolicy,WAIT
pay_000471_a1,WaitPolicy,WAIT
pay_000472_a1,WaitPolicy,WAIT
pay_000473_a2,WaitPolicy,WAIT
pay_000474_a3,WaitPolicy,WAIT
pay_000475_a4,WaitPolicy,WAIT
pay_000476_a1,WaitPolicy,WAIT
pay_000477_a2,WaitPolicy,WAIT
pay_000478_a1,WaitPolicy,WAIT
pay_000479_a2,WaitPolicy,WAIT
pay_000480_a1,WaitPolicy,WAIT
pay_000481_a1,WaitPolicy,WAIT
pay_000482_a2,WaitPolicy,WAIT
pay_000483_a3,WaitPolicy,WAIT
pay_000484_a4,WaitPolicy,WAIT
pay_000485_a1,WaitPolicy,WAIT
pay_000486_a2,WaitPolicy,WAIT
pay_000487_a3,WaitPolicy,WAIT
pay_000488_a4,WaitPolicy,WAIT
pay_000489_a1,WaitPolicy,WAIT
pay_000490_a2,WaitPolicy,WAIT
pay_000491_a3,WaitPolicy,WAIT
pay_000492_a1,WaitPolicy,WAIT
pay_000493_a2,WaitPolicy,WAIT
pay_000494_a3,WaitPolicy,WAIT
pay_000495_a4,WaitPolicy,WAIT
pay_000496_a1,WaitPolicy,WAIT
pay_000497_a2,WaitPolicy,WAIT
pay_000498_a3,WaitPolicy,WAIT
pay_000499_a4,WaitPolicy,WAIT
pay_000500_a1,WaitPolicy,WAIT
pay_000501_a1,WaitPolicy,WAIT
pay_000502_a1,WaitPolicy,WAIT
pay_000503_a2,WaitPolicy,WAIT
pay_000504_a1,WaitPolicy,WAIT
pay_000505_a2,WaitPolicy,WAIT
pay_000506_a3,WaitPolicy,WAIT
pay_000507_a4,WaitPolicy,WAIT
pay_000508_a1,WaitPolicy,WAIT
pay_000509_a2,WaitPolicy,WAIT
pay_000510_a3,WaitPolicy,WAIT
pay_000511_a4,WaitPolicy,WAIT
pay_000512_a1,WaitPolicy,WAIT
pay_000513_a2,WaitPolicy,WAIT
pay_000514_a3,WaitPolicy,WAIT
pay_000515_a4,WaitPolicy,WAIT
pay_000516_a1,WaitPolicy,WAIT
pay_000517_a2,WaitPolicy,WAIT
pay_000518_a1,WaitPolicy,WAIT
pay_000519_a2,WaitPolicy,WAIT
pay_000520_a3,WaitPolicy,WAIT
pay_000521_a4,WaitPolicy,WAIT
pay_000522_a1,WaitPolicy,WAIT
pay_000523_a2,WaitPolicy,WAIT
pay_000524_a3,WaitPolicy,WAIT
pay_000525_a1,WaitPolicy,WAIT
pay_000526_a2,WaitPolicy,WAIT
pay_000527_a3,WaitPolicy,WAIT
pay_000528_a4,WaitPolicy,WAIT
pay_000529_a1,WaitPolicy,WAIT
pay_000530_a2,WaitPolicy,WAIT
pay_000531_a1,WaitPolicy,WAIT
pay_000532_a1,WaitPolicy,WAIT
pay_000533_a2,WaitPolicy,WAIT
pay_000534_a3,WaitPolicy,WAIT
pay_000535_a4,WaitPolicy,WAIT
pay_000536_a1,WaitPolicy,WAIT
pay_000537_a1,WaitPolicy,WAIT
pay_000538_a1,WaitPolicy,WAIT
pay_000539_a2,WaitPolicy,WAIT
pay_000540_a1,WaitPolicy,WAIT
pay_000541_a1,WaitPolicy,WAIT
pay_000542_a1,WaitPolicy,WAIT
pay_000543_a2,WaitPolicy,WAIT
pay_000544_a3,WaitPolicy,WAIT
pay_000545_a1,WaitPolicy,WAIT
pay_000546_a2,WaitPolicy,WAIT
pay_000547_a1,WaitPolicy,WAIT
pay_000548_a2,WaitPolicy,WAIT
pay_000549_a3,WaitPolicy,WAIT
pay_000550_a4,WaitPolicy,WAIT
pay_000551_a1,WaitPolicy,WAIT
pay_000552_a2,WaitPolicy,WAIT
pay_000553_a3,WaitPolicy,WAIT
pay_000554_a4,WaitPolicy,WAIT
pay_000555_a1,WaitPolicy,WAIT
pay_000556_a1,WaitPolicy,WAIT
pay_000557_a1,WaitPolicy,WAIT
pay_000558_a2,WaitPolicy,WAIT
pay_000559_a3,WaitPolicy,WAIT
pay_000560_a1,WaitPolicy,WAIT
pay_000561_a1,WaitPolicy,WAIT
pay_000562_a2,WaitPolicy,WAIT
pay_000563_a3,WaitPolicy,WAIT
pay_000564_a4,WaitPolicy,WAIT
pay_000565_a1,WaitPolicy,WAIT
pay_000566_a1,WaitPolicy,WAIT
pay_000567_a1,WaitPolicy,WAIT
pay_000568_a1,WaitPolicy,WAIT
pay_000569_a1,WaitPolicy,WAIT
pay_000570_a2,WaitPolicy,WAIT
pay_000571_a1,WaitPolicy,WAIT
pay_000572_a2,WaitPolicy,WAIT
pay_000573_a3,WaitPolicy,WAIT
pay_000574_a1,WaitPolicy,WAIT
pay_000575_a2,WaitPolicy,WAIT
pay_000576_a1,WaitPolicy,WAIT
pay_000577_a1,WaitPolicy,WAIT
pay_000578_a1,WaitPolicy,WAIT
pay_000579_a1,WaitPolicy,WAIT
pay_000580_a2,WaitPolicy,WAIT
pay_000581_a3,WaitPolicy,WAIT
pay_000582_a4,WaitPolicy,WAIT
pay_000583_a1,WaitPolicy,WAIT
pay_000584_a2,WaitPolicy,WAIT
pay_000585_a1,WaitPolicy,WAIT
pay_000586_a2,WaitPolicy,WAIT
pay_000587_a3,WaitPolicy,WAIT
pay_000588_a1,WaitPolicy,WAIT
pay_000589_a1,WaitPolicy,WAIT
pay_000590_a2,WaitPolicy,WAIT
pay_000591_a3,WaitPolicy,WAIT
pay_000592_a1,WaitPolicy,WAIT
pay_000593_a2,WaitPolicy,WAIT
pay_000594_a3,WaitPolicy,WAIT
pay_000595_a4,WaitPolicy,WAIT
pay_000596_a1,WaitPolicy,WAIT
pay_000597_a2,WaitPolicy,WAIT
pay_000598_a3,WaitPolicy,WAIT
pay_000599_a4,WaitPolicy,WAIT
pay_000600_a1,WaitPolicy,WAIT
pay_000601_a1,WaitPolicy,WAIT
pay_000602_a2,WaitPolicy,WAIT
pay_000603_a3,WaitPolicy,WAIT
pay_000604_a1,WaitPolicy,WAIT
pay_000605_a2,WaitPolicy,WAIT
pay_000606_a3,WaitPolicy,WAIT
pay_000607_a4,WaitPolicy,WAIT
pay_000608_a1,WaitPolicy,WAIT
pay_000609_a1,WaitPolicy,WAIT
pay_000610_a1,WaitPolicy,WAIT
pay_000611_a2,WaitPolicy,WAIT
pay_000612_a1,WaitPolicy,WAIT
pay_000613_a2,WaitPolicy,WAIT
pay_000614_a3,WaitPolicy,WAIT
pay_000615_a1,WaitPolicy,WAIT
pay_000616_a1,WaitPolicy,WAIT
pay_000617_a2,WaitPolicy,WAIT
pay_000618_a3,WaitPolicy,WAIT
pay_000619_a4,WaitPolicy,WAIT
pay_000620_a1,WaitPolicy,WAIT
pay_000621_a1,WaitPolicy,WAIT
pay_000622_a2,WaitPolicy,WAIT
pay_000623_a3,WaitPolicy,WAIT
pay_000624_a1,WaitPolicy,WAIT
pay_000625_a1,WaitPolicy,WAIT
pay_000626_a2,WaitPolicy,WAIT
pay_000627_a3,WaitPolicy,WAIT
pay_000628_a1,WaitPolicy,WAIT
pay_000629_a1,WaitPolicy,WAIT
pay_000630_a1,WaitPolicy,WAIT
pay_000631_a2,WaitPolicy,WAIT
pay_000632_a3,WaitPolicy,WAIT
pay_000633_a4,WaitPolicy,WAIT
pay_000634_a1,WaitPolicy,WAIT
